query,phylum,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Jesogammarus fluvialis,Arthropoda,Anisogammaridae,716981,101367,Anisogammaridae,"Bousfield, 1977",accepted,NA,Family,101367,Anisogammaridae,"Bousfield, 1977",720708,Animalia,Malacostraca,Amphipoda,NA,1,1,1,0,NA,exact
Leptotrombidium chiangraiensis,Arthropoda,Trombiculidae,1022885,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Leptotrombidium imphalum,Arthropoda,Trombiculidae,1022887,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Leptotrombidium intermedium,Arthropoda,Trombiculidae,1022889,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Leptotrombidium fuji,Arthropoda,Trombiculidae,1022892,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Leptotrombidium scutellare,Arthropoda,Trombiculidae,1022894,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Leptotrombidium palpale,Arthropoda,Trombiculidae,446372,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Walchia hayashii,Arthropoda,Trombiculidae,446369,509945,Trombiculidae,"Ewing, 1929",accepted,NA,Family,509945,Trombiculidae,"Ewing, 1929",762086,Animalia,Arachnida,Trombidiformes,NA,1,NA,NA,NA,NA,exact
Oncaea cf. mediterranea 'broad form',Arthropoda,Oncaeidae,823813,128586,Oncaeidae,"Giesbrecht, 1893",accepted,NA,Family,128586,Oncaeidae,"Giesbrecht, 1893",1381349,Animalia,Copepoda,Cyclopoida,NA,1,NA,NA,NA,0,exact
Austruca mjoebergi,Arthropoda,Ocypodidae,825298,106773,Ocypodidae,"Rafinesque, 1815",accepted,NA,Family,106773,Ocypodidae,"Rafinesque, 1815",106707,Animalia,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Daphnia similoides,Arthropoda,Daphniidae,300243,148360,Daphniidae,"Straus, 1820",accepted,NA,Family,148360,Daphniidae,"Straus, 1820",106259,Animalia,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Scopimera curtelsoma,Arthropoda,Dotillidae,949613,439148,Dotillidae,"Stimpson, 1858",accepted,NA,Family,439148,Dotillidae,"Stimpson, 1858",106707,Animalia,Malacostraca,Decapoda,NA,1,NA,NA,NA,NA,exact
Mundochthonius japonicus,Arthropoda,Chthoniidae,3580920,150463,Chthoniidae,NA,accepted,NA,Family,150463,Chthoniidae,NA,467668,Animalia,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Microbisium pygmaeum,Arthropoda,Neobisiidae,3578567,118090,Neobisiidae,NA,accepted,NA,Family,118090,Neobisiidae,NA,467668,Animalia,Arachnida,Pseudoscorpionida,NA,1,NA,NA,1,NA,exact
Cancer antennarius,Arthropoda,Cancridae,392102,106749,Cancridae,"Latreille, 1802",accepted,NA,Family,106749,Cancridae,"Latreille, 1802",106695,Animalia,Malacostraca,Decapoda,NA,1,0,0,0,0,exact
Charybdis acuta,Arthropoda,Portunidae,599994,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Malacostraca,Decapoda,NA,1,1,NA,NA,NA,exact
Charybdis feriata,Arthropoda,Portunidae,513593,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Malacostraca,Decapoda,NA,1,1,NA,NA,NA,exact
Charybdis japonica,Arthropoda,Portunidae,599983,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Malacostraca,Decapoda,NA,1,1,NA,NA,NA,exact
Haemaphysalis humerosa,Arthropoda,Ixodidae,735707,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Haemaphysalis longicornis,Arthropoda,Ixodidae,789030,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Hyalomma aegyptium,Arthropoda,Ixodidae,83659,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Hyalomma dromedarii,Arthropoda,Ixodidae,1069367,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Hyalomma rufipes,Arthropoda,Ixodidae,658138,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Hyalomma truncatum,Arthropoda,Ixodidae,83657,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
