"","accession_1","accession_2","taxonID","phylum"
"349","BCIIS100-19","MN620541",NA,NA
"350","BCIIS105-19","MN620600",NA,NA
"351","BCIIS108-19","MN620802",NA,NA
"352","BCIIS151-19","MN620759",NA,NA
"353","BCIIS152-19","MN620779",NA,NA
"354","BCIIS155-19","MN620591",NA,NA
"355","BCIIS156-19","MN620945",NA,NA
"356","BCIIS160-19","MN621048",NA,NA
"357","BCIIS174-19","MN621042",NA,NA
"358","BCIOM046-19","MT357810",NA,NA
"359","BCIOM073-19","MT357783",NA,NA
"360","BCIOM084-19","MT357574",NA,NA
"361","BCIOM162-19","MT357624",NA,NA
"362","BCIOM163-19","MT357839",NA,NA
"363","BCIOM182-19","MT357649",NA,NA
"364","BCIOM184-19","MT357576",NA,NA
"365","BCIOM185-19","MT357657",NA,NA
"366","BCIOM188-19","MT357790",NA,NA
"367","BCIRE022-19","MN620693",NA,NA
"368","BCIRE027-19","MN620608",NA,NA
"369","BCIRE028-19","MN620538",NA,NA
"370","BCIRE032-19","MN620555",NA,NA
"371","BCIRE033-19","MN620760",NA,NA
"372","BCIRE045-19","MN620671",NA,NA
"373","BCIRE050-19","MN621016",NA,NA
"374","BCIRE086-19","MN620560",NA,NA
"375","BCIRE087-19","MN620988",NA,NA
"376","BCIRE089-19","MN620976",NA,NA
"377","BCIRE090-19","MN620724",NA,NA
"378","BCIRE091-19","MN620617",NA,NA
"379","BCIRE093-19","MN620933",NA,NA
"380","BCIRE106-19","MN620742",NA,NA
"381","BCIRE116-19","MN620581",NA,NA
"382","BCIRE118-19","MN621040",NA,NA
"383","BCIRE137-19","MN621004",NA,NA
"384","BCIRE142-19","MN620849",NA,NA
"385","BCIRE170-19","MN621018",NA,NA
"386","BCIRE172-19","MN621064",NA,NA
"387","BCIRE176-19","MN620851",NA,NA
"388","BCIRE178-19","MN620899",NA,NA
"389","BCIRE179-19","MN620691",NA,NA
"390","BCIRE269-19","MN620932",NA,NA
"391","BCIRE274-19","MN620615",NA,NA
"392","BCIRE276-19","MN620845",NA,NA
"393","BCIRE278-19","MN620594",NA,NA
"394","BSCDL001-10",NA,7711,"Chordata"
"395","BSCDL002-10",NA,7711,"Chordata"
"396","BSCDL003-10",NA,7711,"Chordata"
"397","BSCDL005-10",NA,7711,"Chordata"
"398","BSCDL007-10",NA,7711,"Chordata"
"399","BSCDL008-10",NA,7711,"Chordata"
"400","BSCDL010-10",NA,7711,"Chordata"
"401","BSCDL011-10",NA,7711,"Chordata"
"402","BSCDL012-10",NA,7711,"Chordata"
"403","BSCDL015-10",NA,7711,"Chordata"
"404","BSCDL016-10",NA,7711,"Chordata"
"405","BSCDL017-10",NA,7711,"Chordata"
"406","BSCDL018-10",NA,7711,"Chordata"
"407","BSCDL019-10",NA,7711,"Chordata"
"408","BSCDL020-10",NA,7711,"Chordata"
"409","BSCDL022-10",NA,7711,"Chordata"
"410","BSCDL023-10",NA,7711,"Chordata"
"411","BSCDL024-10",NA,7711,"Chordata"
"412","BSCDL025-10",NA,7711,"Chordata"
"413","BSCDL026-10",NA,7711,"Chordata"
"414","BSCDL027-10",NA,7711,"Chordata"
"415","BSCDL028-10",NA,7711,"Chordata"
"416","BSCDL029-10",NA,7711,"Chordata"
"417","BSCDL030-10",NA,7711,"Chordata"
"418","BSCDL031-10",NA,7711,"Chordata"
"419","BSCDL032-10",NA,7711,"Chordata"
"420","BSCDL033-10",NA,7711,"Chordata"
"421","BSCDL035-10",NA,7711,"Chordata"
"422","BSCDL036-10",NA,7711,"Chordata"
"423","BSCDL037-10",NA,7711,"Chordata"
"424","BSCDL038-10",NA,7711,"Chordata"
"425","BSCDL039-10",NA,7711,"Chordata"
"426","BSCDL040-10",NA,7711,"Chordata"
"427","BSCDL041-10",NA,7711,"Chordata"
"428","BSCDL042-10",NA,7711,"Chordata"
"429","BSCDL043-10",NA,7711,"Chordata"
"430","BSCDL044-10",NA,7711,"Chordata"
"431","BSCDL045-10",NA,7711,"Chordata"
"432","BSCDL046-10",NA,7711,"Chordata"
"433","BSCDL047-10",NA,7711,"Chordata"
"434","BSCDL048-10",NA,7711,"Chordata"
"435","BSCDL049-10",NA,7711,"Chordata"
"436","BSCDL050-10",NA,7711,"Chordata"
"437","BSCDL051-10",NA,7711,"Chordata"
"438","BSCDL052-10",NA,7711,"Chordata"
"439","BSCDL053-10",NA,7711,"Chordata"
"440","BSCDL054-10",NA,7711,"Chordata"
"441","BSCDL055-10",NA,7711,"Chordata"
