"","species_verbatim","query","domain","kingdom","phylum","class","subclass","order","family","genus","species","ottid_species","rank"
"283","Pogonias courbina","Pogonias courbina","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Sciaenidae","Pogonias","Pogonias courbina",7061797,NA
"284","Ponticola iljini","Ponticola iljini","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Gobiidae","Ponticola","Ponticola iljini",6140638,NA
"285","Porochilus argenteus x Neosilurus hyrtlii","Porochilus argenteus x Neosilurus hyrtlii","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Plotosidae",NA,"Porochilus argenteus x Neosilurus hyrtlii",5839293,NA
"286","Potamarius labiatus","Potamarius labiatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Ariidae","Potamarius","Potamarius labiatus",3623436,NA
"287","Prolixicheilus longisulcus","Prolixicheilus longisulcus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Prolixicheilus","Prolixicheilus longisulcus",3627171,NA
"288",NA,"Pseudanthias randali","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Acanthomorphata","Serranidae","Pseudanthias","Pseudanthias randali",3633983,NA
"289",NA,"Pseudolaguvia tuberculatus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Siluriformes","Sisoridae","Pseudolaguvia","Pseudolaguvia tuberculatus",343440,NA
"290","Pseudophoxinus beoticus","Pseudophoxinus beoticus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Pseudophoxinus","Pseudophoxinus beoticus",916861,NA
"291","Pungtungia herzi x Pseudorasbora parva","Pungtungia herzi x Pseudorasbora parva","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae",NA,"Pungtungia herzi x Pseudorasbora parva",5839040,NA
"292","Puntius chelynoides","Puntius chelynoides","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Puntius","Puntius chelynoides",198330,NA
"293","Puntius schanicus","Puntius schanicus","Eukaryota","Metazoa","Chordata","Actinopteri","Neopterygii","Cypriniformes","Cyprinidae","Puntius","Puntius schanicus",3627252,NA
