"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","acceptedusagekey","note"
"1793","Puntius semifasciolatus",2364170,"Puntius semifasciolatus (Günther, 1868)","species","SYNONYM","EXACT","Puntius semifasciolatus",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Barbodes","Barbodes semifasciolatus",1,44,204,1153,7336,2365861,9515715,TRUE,"Actinopterygii",9515715,NA
"1794","Puntius semifasciolatus",2364172,"Puntius semifasciolata (Günther, 1868)","species","SYNONYM","FUZZY","Puntius semifasciolata",94,"Animalia","Chordata","Cypriniformes","Cyprinidae","Barbodes","Barbodes semifasciolatus",1,44,204,1153,7336,2365861,9515715,TRUE,"Actinopterygii",9515715,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=0"
"1795","Puntius semifasciolatus",4287005,"Puntius semifaciolatus (Günther, 1868)","species","SYNONYM","FUZZY","Puntius semifaciolatus",92,"Animalia","Chordata","Cypriniformes","Cyprinidae","Barbodes","Barbodes semifasciolatus",1,44,204,1153,7336,2365861,9515715,TRUE,"Actinopterygii",9515715,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=0"
"1796","Anematichthys apogon",7617337,"Anematichthys apogon (Valenciennes, 1842)","species","SYNONYM","EXACT","Anematichthys apogon",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Cyclocheilichthys","Cyclocheilichthys apogon",1,44,204,1153,7336,2364410,2364440,TRUE,"Actinopterygii",2364440,NA
"1829","Barbonymus schwanefeldii",10374537,"Barbonymus schwanefeldii (Bleeker, 1854)","species","SYNONYM","EXACT","Barbonymus schwanefeldii",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Barbonymus","Barbonymus schwanenfeldii",1,44,204,1153,7336,2366090,2366101,TRUE,"Actinopterygii",2366101,NA
"1830","Barbonymus schwanefeldii",2366101,"Barbonymus schwanenfeldii (Bleeker, 1854)","species","ACCEPTED","FUZZY","Barbonymus schwanenfeldii",92,"Animalia","Chordata","Cypriniformes","Cyprinidae","Barbonymus","Barbonymus schwanenfeldii",1,44,204,1153,7336,2366090,2366101,FALSE,"Actinopterygii",NA,"Similarity: name=95; authorship=0; classification=-2; rank=5; status=1"
"1843","Kichulchoia multifasciata",4286860,"Kichulchoia Kim, Park & Nalbant, 1999","genus","ACCEPTED","HIGHERRANK","Kichulchoia",94,"Animalia","Chordata","Cypriniformes","Cobitidae","Kichulchoia",NA,1,44,204,1153,3385,4286860,NA,FALSE,"Actinopterygii",NA,NA
"1853","Labeo catla",2361601,"Labeo Cuvier, 1816","genus","ACCEPTED","HIGHERRANK","Labeo",92,"Animalia","Chordata","Cypriniformes","Cyprinidae","Labeo",NA,1,44,204,1153,7336,2361601,NA,FALSE,"Actinopterygii",NA,NA
"1892","Nicholsicypris normalis",2367760,"Nicholsicypris normalis (Nichols & Pope, 1927)","species","SYNONYM","EXACT","Nicholsicypris normalis",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Aphyocypris","Aphyocypris normalis",1,44,204,1153,7336,2366561,2367761,TRUE,"Actinopterygii",2367761,NA
"1893","Yaoshanicus arcus",2359137,"Yaoshanicus arcus Linnaeus, 1931","species","SYNONYM","EXACT","Yaoshanicus arcus",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Aphyocypris","Aphyocypris arcus",1,44,204,1153,7336,2366561,9706998,TRUE,"Actinopterygii",9706998,NA
"1899","Mesonoemacheilus triangularis",2358142,"Mesonoemacheilus triangularis (Day, 1865)","species","SYNONYM","EXACT","Mesonoemacheilus triangularis",98,"Animalia","Chordata","Cypriniformes","Nemacheilidae","Nemacheilus","Nemacheilus triangularis",1,44,204,1153,6759123,6759124,5205201,TRUE,"Actinopterygii",5205201,NA
"1911","Microrasbora erythromicron",2362711,"Microrasbora erythromicron Annandale, 1918","species","SYNONYM","EXACT","Microrasbora erythromicron",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Danio","Danio erythromicron",1,44,204,1153,7336,2362675,2362710,TRUE,"Actinopterygii",2362710,NA
"1925","Parabotia fasciatus",2367850,"Parabotia fasciatus Dabry de Thiersant, 1872","species","SYNONYM","EXACT","Parabotia fasciatus",98,"Animalia","Chordata","Cypriniformes","Cobitidae","Parabotia","Parabotia fasciata",1,44,204,1153,3385,2367842,2367849,TRUE,"Actinopterygii",2367849,NA
"1926","Parabotia fasciatus",2367849,"Parabotia fasciata Dabry de Thiersant, 1872","species","ACCEPTED","FUZZY","Parabotia fasciata",94,"Animalia","Chordata","Cypriniformes","Cobitidae","Parabotia","Parabotia fasciata",1,44,204,1153,3385,2367842,2367849,FALSE,"Actinopterygii",NA,"Similarity: name=100; authorship=0; classification=-2; rank=5; status=1"
"1929","Homalosoma hainanensis",8378905,"Homalosoma hainanensis (Chen & Zheng, 1980)","species","SYNONYM","EXACT","Homalosoma hainanensis",98,"Animalia","Chordata","Cypriniformes","Balitoridae","Vanmanenia","Vanmanenia hainanensis",1,44,204,1153,3383,2357203,2357222,TRUE,"Actinopterygii",2357222,NA
"1935","Schistura corica",5205044,"Schistura corica (Hamilton, 1822)","species","SYNONYM","EXACT","Schistura corica",98,"Animalia","Chordata","Cypriniformes","Nemacheilidae","Nemacheilus","Nemacheilus corica",1,44,204,1153,6759123,6759124,5205046,TRUE,"Actinopterygii",5205046,NA
"2010","Monotrete cochinchinensis",2407456,"Monotrete cochinchinensis (Steindachner, 1866)","species","SYNONYM","EXACT","Monotrete cochinchinensis",98,"Animalia","Chordata","Tetraodontiformes","Tetraodontidae","Pao","Pao cochinchinensis",1,44,204,772,2219,7742265,8368421,TRUE,"Actinopterygii",8368421,NA
"2014","Chelonodontops pleurospilus",2407342,"Chelonodontops Smith, 1958","genus","SYNONYM","HIGHERRANK","Chelonodontops",94,"Animalia","Chordata","Tetraodontiformes","Tetraodontidae","Chelonodon",NA,1,44,204,772,2219,2407310,NA,TRUE,"Actinopterygii",2407310,NA
"2034","Hemiodopsis gracilis",2354912,"Hemiodopsis gracilis (Günther, 1864)","species","SYNONYM","EXACT","Hemiodopsis gracilis",98,"Animalia","Chordata","Characiformes","Hemiodontidae","Hemiodus","Hemiodus gracilis",1,44,204,537,7329,2354862,2354911,TRUE,"Actinopterygii",2354911,NA
"2040","Lebiasina astrigata",2355605,"Lebiasina astrigata (Regan, 1903)","species","SYNONYM","EXACT","Lebiasina astrigata",98,"Animalia","Chordata","Characiformes","Lebiasinidae","Piabucina","Piabucina astrigata",1,44,204,537,3380,2355595,2355604,TRUE,"Actinopterygii",2355604,NA
"2069","Duringlanis perugiae",10993517,"Duringlanis","genus","DOUBTFUL","HIGHERRANK","Duringlanis",92,"Animalia","Chordata","Siluriformes","Auchenipteridae","Duringlanis",NA,1,44,204,708,8640,10993517,NA,FALSE,"Actinopterygii",NA,NA
"2125","Pararasbora moltrechti",2359643,"Pararasbora moltrechti Regan, 1908","species","SYNONYM","EXACT","Pararasbora moltrechti",98,"Animalia","Chordata","Cypriniformes","Cyprinidae","Aphyocypris","Aphyocypris moltrechti",1,44,204,1153,7336,2366561,9776810,TRUE,"Actinopterygii",9776810,NA
"2141","Micronemacheilus cruciatus",2358244,"Micronemacheilus cruciatus (Rendahl, 1944)","species","SYNONYM","EXACT","Micronemacheilus cruciatus",98,"Animalia","Chordata","Cypriniformes","Nemacheilidae","Yunnanilus","Yunnanilus cruciatus",1,44,204,1153,6759123,2358231,2358243,TRUE,"Actinopterygii",2358243,NA
