"","query","usagekey","scientificname","rank","status","matchtype","canonicalname","confidence","kingdom","phylum","order","family","genus","species","kingdomkey","phylumkey","classkey","orderkey","familykey","genuskey","specieskey","synonym","class","note","acceptedusagekey"
"3739","Luidia sarsi",2270626,"Luidia sarsi Düben & Koren, 1844","species","SYNONYM","EXACT","Luidia sarsi",98,"Animalia","Echinodermata","Paxillosida","Luidiidae","Luidia","Luidia sarsii",1,50,214,808,9474,2270561,2270638,TRUE,"Asteroidea",NA,2270638
"3740","Luidia sarsi",2270638,"Luidia sarsii Düben & Koren, 1844","species","ACCEPTED","FUZZY","Luidia sarsii",94,"Animalia","Echinodermata","Paxillosida","Luidiidae","Luidia","Luidia sarsii",1,50,214,808,9474,2270561,2270638,FALSE,"Asteroidea","Similarity: name=100; authorship=0; classification=-2; rank=5; status=1",NA
"3752","Calicophoron phillerouxi",2505642,"Calicophoron Nasmark, 1937","genus","ACCEPTED","HIGHERRANK","Calicophoron",94,"Animalia","Platyhelminthes","Plagiorchiida","Paramphistomidae","Calicophoron",NA,1,108,345,434,4345998,2505642,NA,FALSE,"Trematoda",NA,NA
"3753","Carmyerius mancupatus",4282240,"Carmyerius Stiles & Goldberger, 1910","genus","DOUBTFUL","HIGHERRANK","Carmyerius",92,"Animalia","Platyhelminthes","Plagiorchiida","Gastrothylacidae","Carmyerius",NA,1,108,345,434,4282236,4282240,NA,FALSE,"Trematoda",NA,NA
"3754","Calicophoron raja",2505642,"Calicophoron Nasmark, 1937","genus","ACCEPTED","HIGHERRANK","Calicophoron",94,"Animalia","Platyhelminthes","Plagiorchiida","Paramphistomidae","Calicophoron",NA,1,108,345,434,4345998,2505642,NA,FALSE,"Trematoda",NA,NA
"3755","Carmyerius gregarius",4282240,"Carmyerius Stiles & Goldberger, 1910","genus","DOUBTFUL","HIGHERRANK","Carmyerius",92,"Animalia","Platyhelminthes","Plagiorchiida","Gastrothylacidae","Carmyerius",NA,1,108,345,434,4282236,4282240,NA,FALSE,"Trematoda",NA,NA
"3756","Carmyerius exoporus",4282240,"Carmyerius Stiles & Goldberger, 1910","genus","DOUBTFUL","HIGHERRANK","Carmyerius",92,"Animalia","Platyhelminthes","Plagiorchiida","Gastrothylacidae","Carmyerius",NA,1,108,345,434,4282236,4282240,NA,FALSE,"Trematoda",NA,NA
"3757","Calicophoron clavula",2505642,"Calicophoron Nasmark, 1937","genus","ACCEPTED","HIGHERRANK","Calicophoron",94,"Animalia","Platyhelminthes","Plagiorchiida","Paramphistomidae","Calicophoron",NA,1,108,345,434,4345998,2505642,NA,FALSE,"Trematoda",NA,NA
"3774","Onchocerca boehmi",8236519,"Onchocerca Diesing, 1841","genus","ACCEPTED","HIGHERRANK","Onchocerca",94,"Animalia","Nematoda","Spirurida","Onchocercidae","Onchocerca",NA,1,5967481,250,973,2715,8236519,NA,FALSE,"Secernentea",NA,NA
"3809","Mansonella mariae",4631551,"Mansonella Faust, 1929","genus","ACCEPTED","HIGHERRANK","Mansonella",94,"Animalia","Nematoda","Spirurida","Onchocercidae","Mansonella",NA,1,5967481,250,973,2715,4631551,NA,FALSE,"Secernentea",NA,NA
