query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Nicomache minor,130313,Nicomache minor,"Arwidsson, 1906",alternate representation,NA,Species,334212,Nicomache (Nicomache) minor,"Arwidsson, 1906",129357,Animalia,Annelida,Polychaeta,NA,Maldanidae,Nicomache,1,0,0,0,0,exact,0,0
Octodrilus istrianus,1070065,Octodrilus istrianus,"Mršić, 1991",unassessed,NA,Species,1070065,Octodrilus istrianus,"Mršić, 1991",1062176,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Octodrilus,0,0,0,1,NA,exact,0,1
Hermadion truncata,333595,Hermadion truncata,"(Czerniavsky, 1882)",nomen dubium,not valid fide regional checklist,Species,333595,Hermadion truncata,"(Czerniavsky, 1882)",146971,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hermadion,1,0,0,0,0,exact,0,0
Hermadion truncata,333596,Hermadion truncata,"(Moore, 1902)",unaccepted,superseded subsequent combination,Species,130786,Hermadionella truncata,"(Moore, 1902)",146971,Animalia,Annelida,Polychaeta,Phyllodocida,Polynoidae,Hermadion,1,0,0,0,0,exact,0,0
Dendrobaena hortensis,1425373,Dendrobaena hortensis,"(Michaelsen, 1890)",accepted,NA,Species,1425373,Dendrobaena hortensis,"(Michaelsen, 1890)",1040049,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,NA,NA,NA,1,0,exact,NA,1
Dendrobaena orientalis,1068402,Dendrobaena orientalis,"Černosvitov, 1940",unassessed,NA,Species,1068402,Dendrobaena orientalis,"Černosvitov, 1940",1040049,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,0,0,0,1,NA,exact,0,1
Dendrobaena pantaleonis,1073847,Dendrobaena pantaleonis,NA,unassessed,NA,Species,1073847,Dendrobaena pantaleonis,NA,1040049,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,NA,NA,NA,1,NA,exact,NA,1
Dendrobaena pavliceki,1425392,Dendrobaena pavliceki,"Szederjesi & Csuzdi, 2018",accepted,NA,Species,1425392,Dendrobaena pavliceki,"Szederjesi & Csuzdi, 2018",1040049,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,0,0,0,1,0,exact,0,1
Dendrobaena semitica,1073851,Dendrobaena semitica,NA,unassessed,NA,Species,1073851,Dendrobaena semitica,NA,1040049,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,NA,NA,NA,1,NA,exact,NA,1
Dendrobaena karacadagi,1425151,Dendrobaena karacadagi,"Szederjesi, Pavlíček & Csuzdi, 2019",accepted,NA,Species,1425151,Dendrobaena karacadagi,"Szederjesi, Pavlíček & Csuzdi, 2019",1040049,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Dendrobaena,NA,NA,NA,1,0,exact,NA,1
Branchiodrilus cleistochaeta,1040488,Branchiodrilus cleistochaeta,"Dalh, 1957",accepted,NA,Species,1040488,Branchiodrilus cleistochaeta,"Dalh, 1957",1037339,Animalia,Annelida,Clitellata,Tubificida,Naididae,Branchiodrilus,0,NA,1,0,NA,exact,1,0
Chamaedrilus asloae,1309509,Chamaedrilus asloae,"Martinsson, Klinth & Erséus, 2018",unaccepted,"Decision of the ICZN, opinion 2423, case 3689",Species,1320679,Cognettia asloae,"(Martinsson, Klinth & Erséus, 2018)",992700,Animalia,Annelida,Clitellata,Enchytraeida,Enchytraeidae,Chamaedrilus,0,0,1,1,NA,exact,1,1
Eisenia salairica,1073288,Eisenia salairica,"Perel, 1968",unassessed,NA,Species,1073288,Eisenia salairica,"Perel, 1968",1040050,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Eisenia,NA,NA,NA,1,NA,exact,NA,1
