found_taxa,rank,phylum,class,order,family,genus,worms_aphiaid,bold_id,gbif_key,ott_id,taxa_query,status,unacceptreason,is_synonym,flags,valid_authority,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,freshwater_only,terrestrial_only
Conus scalarissimus,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,429887,NA,5193150,2903247,Conus gradatus,unaccepted,"invalid: junior homonym of <i>Conus gradatus</i> W. Wood, 1828; <i>C. scalarissimus</i> is a replacement name",FALSE,sibling_higher,"da Motta, 1988",Conus scalarissimus,Conus gradatus,NA,"Conus gradatus W.Wood, 1828",0,0
Conus gradatus,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,428141,NA,5193150,2903247,Conus gradatus,accepted,NA,FALSE,sibling_higher,"W. Wood, 1828",Conus gradatus,Conus gradatus,NA,"Conus gradatus W.Wood, 1828",0,0
Conus gradatus,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,428141,NA,5193150,2903247,Conus gradatus,accepted,NA,FALSE,sibling_higher,"W. Wood, 1828",Conus gradatus,Conus gradatus,NA,"Conus gradatus W.Wood, 1828",0,0
Conus gradatus,species,Mollusca,Gastropoda,Neogastropoda,Conidae,Conus,428141,NA,5193150,2903247,Conus gradatus,accepted,NA,FALSE,sibling_higher,"W. Wood, 1828",Conus gradatus,Conus gradatus,NA,"Conus gradatus W.Wood, 1828",0,0
Arion,genus,Mollusca,Gastropoda,Stylommatophora,Arionidae,Arion,818149,26678,2294092,661122,Arion,accepted,NA,FALSE,NA,"A. Férussac, 1819",Arion,Arion,Arion,"Arion A.Férussac, 1819",0,1
Coelotrochus oppressus,species,Mollusca,Gastropoda,Trochida,Trochidae,Thoristella,598201,NA,2293051,737310,Thoristella oppressa,unaccepted,unaccepted combination,FALSE,NA,"(F. W. Hutton, 1878)",Coelotrochus oppressus,Thoristella oppressa,NA,"Thoristella oppressa (Hutton, 1878)",0,0
Coelotrochus chathamensis,species,Mollusca,Gastropoda,Trochida,Trochidae,Thoristella,598199,NA,2293048,737300,Thoristella chathamensis,unaccepted,unaccepted combination,FALSE,NA,"(F. W. Hutton, 1873)",Coelotrochus chathamensis,Thoristella chathamensis,NA,"Thoristella chathamensis (Hutton, 1873)",0,0
Leonia,genus,Mollusca,Gastropoda,Littorinimorpha,Pomatiidae,Leonia,995124,152949,9165771,598686,Leonia,accepted,NA,FALSE,NA,"Gray, 1850",Leonia,Leonia (genus in Opisthokonta),Leonia,"Leonia Gray, 1850",0,1
Euglesa rotundata,species,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium,1547901,348862,2286697,2857934,Pisidium rotundatum,unaccepted,NA,FALSE,NA,"(Prime, 1852)",Euglesa rotundata,Pisidium rotundatum,Pisidium rotundatum,"Pisidium rotundatum Prime, 1852",1,0
Euglesa rotundata,species,Mollusca,Bivalvia,Sphaeriida,Sphaeriidae,Pisidium,1547901,348862,2286697,2857934,Pisidium rotundatum,unaccepted,NA,FALSE,NA,"(Prime, 1852)",Euglesa rotundata,Pisidium rotundatum,Pisidium rotundatum,"Pisidium rotundatum Prime, 1852",1,0
