query,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type,freshwater_only,terrestrial_only
Schizothorax,270830,Schizothorax,"Heckel, 1838",accepted,NA,Genus,270830,Schizothorax,"Heckel, 1838",826614,Animalia,Chordata,Actinopteri,Cypriniformes,Cyprinidae,Schizothorax,0,0,1,0,NA,exact,1,0
Plicofollis tenuispinis,282301,Plicofollis tenuispinis,"(Day, 1877)",unaccepted,NA,Species,1043427,Plicofollis layardi,"(Günther, 1866)",270460,Animalia,Chordata,Actinopteri,Siluriformes,Ariidae,Plicofollis,1,1,0,0,NA,exact,0,0
Liobagrus obesus,1011621,Liobagrus obesus,"Son, Kim & Choo, 1987",accepted,NA,Species,1011621,Liobagrus obesus,"Son, Kim & Choo, 1987",269699,Animalia,Chordata,Actinopteri,Siluriformes,Amblycipitidae,Liobagrus,0,0,1,0,NA,exact,1,0
Ptychochromoides itasy,1009474,Ptychochromoides itasy,"Sparks, 2004",accepted,NA,Species,1009474,Ptychochromoides itasy,"Sparks, 2004",270661,Animalia,Chordata,Actinopteri,Cichliformes,Cichlidae,Ptychochromoides,0,0,1,0,NA,exact,1,0
Neotrygon ningalooensis,712402,Neotrygon ningalooensis,"Last, White & Puckridge, 2010",accepted,NA,Species,712402,Neotrygon ningalooensis,"Last, White & Puckridge, 2010",397897,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Dasyatidae,Neotrygon,1,0,0,NA,NA,exact,0,0
Mastacembelus unicolor,1022613,Mastacembelus unicolor,"Cuvier, 1832",accepted,NA,Species,1022613,Mastacembelus unicolor,"Cuvier, 1832",269801,Animalia,Chordata,Actinopteri,Synbranchiformes,Mastacembelidae,Mastacembelus,0,0,1,0,NA,exact,1,0
Macrognathus circumcinctus,1016473,Macrognathus circumcinctus,"(Hora, 1924)",accepted,NA,Species,1016473,Macrognathus circumcinctus,"(Hora, 1924)",269768,Animalia,Chordata,Actinopteri,Synbranchiformes,Mastacembelidae,Macrognathus,0,0,1,0,NA,exact,1,0
Mastacembelus erythrotaenia,1021164,Mastacembelus erythrotaenia,"Bleeker, 1850",accepted,NA,Species,1021164,Mastacembelus erythrotaenia,"Bleeker, 1850",269801,Animalia,Chordata,Actinopteri,Synbranchiformes,Mastacembelidae,Mastacembelus,0,0,1,0,NA,exact,1,0
Macrognathus maculatus,1014926,Macrognathus maculatus,"(Cuvier, 1832)",accepted,NA,Species,1014926,Macrognathus maculatus,"(Cuvier, 1832)",269768,Animalia,Chordata,Actinopteri,Synbranchiformes,Mastacembelidae,Macrognathus,0,0,1,0,NA,exact,1,0
Symphurus nigrescens,127134,Symphurus nigrescens,"Rafinesque, 1810",accepted,NA,Species,127134,Symphurus nigrescens,"Rafinesque, 1810",126113,Animalia,Chordata,Actinopteri,Pleuronectiformes,Cynoglossidae,Symphurus,1,0,0,0,NA,exact,0,0
Repomucenus filamentosus,1469439,Repomucenus filamentosus,"(Valenciennes, 1837)",unaccepted,NA,Species,126791,Callionymus filamentosus,"Valenciennes, 1837",270712,Animalia,Chordata,Actinopteri,Callionymiformes,Callionymidae,Repomucenus,1,0,0,0,NA,exact,0,0
Betta imbellis,1012837,Betta imbellis,"Ladiges, 1975",accepted,NA,Species,1012837,Betta imbellis,"Ladiges, 1975",268539,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,0,0,1,0,NA,exact,1,0
Betta ferox,1008842,Betta ferox,"Schindler & Schmidt, 2006",accepted,NA,Species,1008842,Betta ferox,"Schindler & Schmidt, 2006",268539,Animalia,Chordata,Actinopteri,Anabantiformes,Osphronemidae,Betta,0,0,1,0,NA,exact,1,0
Thalassoma noronhanum,273588,Thalassoma noronhanum,"(Boulenger, 1890)",accepted,NA,Species,273588,Thalassoma noronhanum,"(Boulenger, 1890)",126024,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,1,0,0,0,NA,exact,0,0
Ginsburgellus novemlineatus,280855,Ginsburgellus novemlineatus,"(Fowler, 1950)",accepted,NA,Species,280855,Ginsburgellus novemlineatus,"(Fowler, 1950)",269214,Animalia,Chordata,Actinopteri,Gobiiformes,Gobiidae,Ginsburgellus,1,0,0,0,NA,exact,0,0
Enchelycore nigricans,271808,Enchelycore nigricans,"(Bonnaterre, 1788)",accepted,NA,Species,271808,Enchelycore nigricans,"(Bonnaterre, 1788)",125635,Animalia,Chordata,Actinopteri,Anguilliformes,Muraenidae,Enchelycore,1,0,0,0,NA,exact,0,0
Platybelone argala,400783,Platybelone argala,"(Lesueur, 1821)",unaccepted,misspelling,Species,293709,Platybelone argalus argalus,"(Lesueur, 1821)",125689,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Platybelone,1,0,0,NA,NA,exact,0,0
Hypoplectrus nigricans,281118,Hypoplectrus nigricans,"(Poey, 1852)",accepted,NA,Species,281118,Hypoplectrus nigricans,"(Poey, 1852)",269456,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Hypoplectrus,1,0,0,0,NA,exact,0,0
Kaupichthys nuchalis,275432,Kaupichthys nuchalis,"Böhlke, 1967",accepted,NA,Species,275432,Kaupichthys nuchalis,"Böhlke, 1967",158575,Animalia,Chordata,Actinopteri,Anguilliformes,Chlopsidae,Kaupichthys,1,0,0,0,NA,exact,0,0
Strongylura notata,293747,Strongylura notata,"(Poey, 1860)",accepted,NA,Species,293747,Strongylura notata,"(Poey, 1860)",159253,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,1,1,1,0,NA,exact,0,0
Triathalassothia gloverensis,315871,Triathalassothia gloverensis,"Greenfield & Greenfield, 1973",unaccepted,NA,Species,283159,Vladichthys gloverensis,"(Greenfield & Greenfield, 1973)",271136,Animalia,Chordata,Actinopteri,Batrachoidiformes,Batrachoididae,Triathalassothia,1,0,0,NA,NA,exact,0,0
Rhinesomus triqueter,320988,Rhinesomus triqueter,"(Linnaeus, 1758)",unaccepted,NA,Species,158932,Lactophrys triqueter,"(Linnaeus, 1758)",297674,Animalia,Chordata,Actinopteri,Tetraodontiformes,Ostraciidae,Rhinesomus,1,0,0,NA,NA,exact,0,0
Oostethus brachyurus,319751,Oostethus brachyurus,"(Bleeker, 1854)",unaccepted,NA,Species,159448,Microphis brachyurus,"(Bleeker, 1854)",297287,Animalia,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Oostethus,1,1,1,NA,NA,exact,0,0
Entomacrodus nigricans,277249,Entomacrodus nigricans,"Gill, 1859",accepted,NA,Species,277249,Entomacrodus nigricans,"Gill, 1859",204365,Animalia,Chordata,Actinopteri,Blenniiformes,Blenniidae,Entomacrodus,1,0,0,0,NA,exact,0,0
Sphoeroides nephelus,275280,Sphoeroides nephelus,"(Goode & Bean, 1882)",accepted,NA,Species,275280,Sphoeroides nephelus,"(Goode & Bean, 1882)",126241,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,1,1,0,0,NA,exact,0,0
Pseudexostoma brachysoma,1524283,Pseudexostoma brachysoma,"Chu, 1979",accepted,NA,Species,1524283,Pseudexostoma brachysoma,"Chu, 1979",270569,Animalia,Chordata,Actinopteri,Siluriformes,Sisoridae,Pseudexostoma,0,0,1,0,NA,exact,1,0
