"","ncbi_sp","original_aphiaid","worms_match","status","ncbi_uid","worms_sciname","worms_aphiaid","unacceptreason","rank","valid_authority","class","order","family","genus","freshwater_only","terrestrial_only","found_taxa"
"8562","Gobiodon axillaris",276924,"Gobiodon axillaris","accepted","449653","Gobiodon axillaris",276924,NA,"species","De Vis, 1884","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon axillaris"
"8563","Gobiodon ater",835066,"Gobiodon ater","accepted","595622","Gobiodon ater",835066,NA,"species","Herler, Bogorodsky & Suzuki, 2013","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon ater"
"8564","Pleurosicya prognatha",278443,"Pleurosicya prognatha","accepted","595631","Pleurosicya prognatha",278443,NA,"species","Goren, 1984","Teleostei","Gobiiformes","Gobiidae","Pleurosicya","0","0","Pleurosicya prognatha"
"8565","Gobiodon ceramensis",276926,"Gobiodon ceramensis","accepted","459505","Gobiodon ceramensis",276926,NA,"species","(Bleeker, 1853)","Teleostei","Gobiiformes","Gobiidae","Gobiodon","0","0","Gobiodon ceramensis"
"8566","Bryaninops ridens",219394,"Bryaninops ridens","accepted","595628","Bryaninops ridens",219394,NA,"species","Smith, 1959","Teleostei","Gobiiformes","Gobiidae","Bryaninops","0","0","Bryaninops ridens"
"8567","Chimaera opalescens",712407,"Chimaera opalescens","accepted","469896","Chimaera opalescens",712407,NA,"species","Luchetti, Iglésias & Sellos, 2011","Holocephali","Chimaeriformes","Chimaeridae","Chimaera","0","0","Chimaera opalescens"
"8568","Pomacanthus rhomboides",220000,"Pomacanthus rhomboides","accepted","459921","Pomacanthus rhomboides",220000,NA,"species","(Gilchrist & Thompson, 1908)","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","0","0","Pomacanthus rhomboides"
"8569","Pomacanthus chrysurus",220006,"Pomacanthus chrysurus","accepted","1356035","Pomacanthus chrysurus",220006,NA,"species","(Cuvier, 1831)","Teleostei","Acanthuriformes","Pomacanthidae","Pomacanthus","0","0","Pomacanthus chrysurus"
"8570","Remora australis",126850,"Remora australis","accepted","490280","Remora australis",126850,NA,"species","(Bennett, 1840)","Teleostei","Carangiformes","Echeneidae","Remora","0","0","Remora australis"
"8571","Echeneis neucratoides",159678,"Echeneis neucratoides","accepted","641291","Echeneis neucratoides",159678,NA,"species","Zuiew, 1789","Teleostei","Carangiformes","Echeneidae","Echeneis","0","0","Echeneis neucratoides"
"8572","Nematistius pectoralis",281664,"Nematistius pectoralis","accepted","173244","Nematistius pectoralis",281664,NA,"species","Gill, 1862","Teleostei","Carangiformes","Nematistiidae","Nematistius","0","0","Nematistius pectoralis"
