Index,Verbatim,Name,Start,End,OddsLog10,Cardinality,AnnotNomenType,WordsBefore,WordsAfter,VerifMatchType,VerifEditDistance,VerifMatchedName,VerifMatchedCanonical,VerifTaxonId,VerifDataSourceId,VerifDataSourceTitle,VerifError
81,Mustelus henlei,Mustelus henlei,22008,22023,11.39,2,NO_ANNOT,,,Exact,0,"Mustelus henlei (Gill, 1863)",Mustelus henlei,44R28,1,Catalogue of Life,
82,(Eschmeyer,Eschmeyer,22173,22183,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
83,Mustelus lunulatus,Mustelus lunulatus,22344,22362,13.47,2,NO_ANNOT,,,Exact,0,"Mustelus lunulatus Jordan & Gilbert, 1882",Mustelus lunulatus,6S2QM,1,Catalogue of Life,
84,(Eschmeyer,Eschmeyer,22488,22498,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
85,Triakis semifasciata,Triakis semifasciata,22830,22850,11.79,2,NO_ANNOT,,,Exact,0,"Triakis semifasciata Girard, 1855",Triakis semifasciata,5859B,1,Catalogue of Life,
86,(Eschmeyer,Eschmeyer,22900,22910,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
87,(Eschmeyer,Eschmeyer,23062,23072,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
88,Isla,Isla,23095,23099,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
89,Carcharhinus albimarginatus,Carcharhinus albimarginatus,23345,23372,14.42,2,NO_ANNOT,,,Exact,0,"Carcharhinus albimarginatus (Rüppell, 1837)",Carcharhinus albimarginatus,R3MB,1,Catalogue of Life,
90,Isla,Isla,23755,23759,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
91,Carcharhinus altimus,Carcharhinus altimus,23894,23914,12.55,2,NO_ANNOT,,,Exact,0,"Carcharhinus altimus (Springer, 1950)",Carcharhinus altimus,R3MC,1,Catalogue of Life,
92,Carcharhinus brachyurus,Carcharhinus brachyurus,24387,24410,13.37,2,NO_ANNOT,,,Exact,0,"Carcharhinus brachyurus (Günther, 1870)",Carcharhinus brachyurus,R3MV,1,Catalogue of Life,
93,C. brachyurus may,C. brachyurus may,25027,25044,4.05,3,NO_ANNOT,,,NoMatch,,,,,,,
94,Carcharhinus cerdale,Carcharhinus cerdale,25171,25191,11.92,2,NO_ANNOT,,,Exact,0,"Carcharhinus cerdale Gilbert, 1898",Carcharhinus cerdale,R3N6,1,Catalogue of Life,
95,Carcharhinus falciformis,Carcharhinus falciformis,25683,25707,13.50,2,NO_ANNOT,,,Exact,0,"Carcharhinus falciformis (Müller & Henle, 1839)",Carcharhinus falciformis,R3ND,1,Catalogue of Life,
96,Carcharhinus galapagensis,Carcharhinus galapagensis,26254,26279,14.12,2,NO_ANNOT,,,Exact,0,"Carcharhinus galapagensis (Snodgrass & Heller, 1905)",Carcharhinus galapagensis,R3NH,1,Catalogue of Life,
97,Galapagos,Galapagos,26308,26317,2.37,1,NO_ANNOT,,,Exact,0,Galapagos,Galapagos,3059652,168,ION,
98,Ogasawara,Ogasawara,26471,26480,3.82,1,NO_ANNOT,,,Exact,0,"Ogasawara Gressitt, 1937",Ogasawara,urn:lsid:irmng.org:taxname:1134205,181,IRMNG,
99,Carcharhinus obscurus,Carcharhinus obscurus,26995,27016,13.09,2,NO_ANNOT,,,Exact,0,"Carcharhinus obscurus (Lesueur, 1818)",Carcharhinus obscurus,R3PY,1,Catalogue of Life,
100,C. galapagensis,C. galapagensis,27119,27134,7.49,2,NO_ANNOT,,,NoMatch,,,,,,,
101,Carcharhinus obscurus,Carcharhinus obscurus,27139,27160,13.09,2,NO_ANNOT,,,Exact,0,"Carcharhinus obscurus (Lesueur, 1818)",Carcharhinus obscurus,R3PY,1,Catalogue of Life,
102,Carcharhinus leucas,Carcharhinus leucas,27208,27227,6.86,2,NO_ANNOT,,,Exact,0,"Carcharhinus leucas (Müller & Henle, 1839)",Carcharhinus leucas,R3NW,1,Catalogue of Life,
103,Isla,Isla,27601,27605,2.08,1,NO_ANNOT,,,Exact,0,"Isla Navás, 1914",Isla,urn:lsid:irmng.org:taxname:1199252,181,IRMNG,
104,(Eschmeyer,Eschmeyer,27695,27705,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
105,"Paita,",Paita,27726,27732,4.03,1,NO_ANNOT,,,Exact,0,"Paita Fauvel, 1904",Paita,urn:lsid:irmng.org:taxname:1346202,181,IRMNG,
106,Carcharhinus limbatus,Carcharhinus limbatus,28154,28175,13.85,2,NO_ANNOT,,,Exact,0,"Carcharhinus limbatus (Müller & Henle, 1839)",Carcharhinus limbatus,R3P2,1,Catalogue of Life,
107,Carcharhinus longimanus,Carcharhinus longimanus,28697,28720,13.65,2,NO_ANNOT,,,Exact,0,"Carcharhinus longimanus (Poey, 1861)",Carcharhinus longimanus,R3P4,1,Catalogue of Life,
108,"Gaviota,",Gaviota,29021,29029,3.26,1,NO_ANNOT,,,Exact,0,"Gaviota Barnard, 1958",Gaviota,urn:lsid:irmng.org:taxname:1307058,181,IRMNG,
109,Eschmeyer,Eschmeyer,29383,29392,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
110,Carcharhinus obscurus,Carcharhinus obscurus,29549,29570,13.09,2,NO_ANNOT,,,Exact,0,"Carcharhinus obscurus (Lesueur, 1818)",Carcharhinus obscurus,R3PY,1,Catalogue of Life,
111,(Eschmeyer,Eschmeyer,29793,29803,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
112,C. obscurus,C. obscurus,30017,30028,6.47,2,NO_ANNOT,,,NoMatch,,,,,,,
113,Carcharhinus galapagensis,Carcharhinus galapagensis,30033,30058,14.12,2,NO_ANNOT,,,Exact,0,"Carcharhinus galapagensis (Snodgrass & Heller, 1905)",Carcharhinus galapagensis,R3NH,1,Catalogue of Life,
114,XCarcharhinus porosus,Xcarcharhinus porosus,30117,30138,6.81,2,NO_ANNOT,,,NoMatch,,,,,,,
115,Carcharhinus cerdale,Carcharhinus cerdale,30265,30285,11.92,2,NO_ANNOT,,,Exact,0,"Carcharhinus cerdale Gilbert, 1898",Carcharhinus cerdale,R3N6,1,Catalogue of Life,
116,Galeocerdo cuvier,Galeocerdo cuvier,30348,30365,7.74,2,NO_ANNOT,,,Exact,0,"Galeocerdo cuvier (Péron & Lesueur, 1822)",Galeocerdo cuvier,3F3KT,1,Catalogue of Life,
117,(Eschmeyer,Eschmeyer,30679,30689,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
118,Nasolamia velox,Nasolamia velox,31061,31076,8.73,2,NO_ANNOT,,,Exact,0,"Nasolamia velox (Gilbert, 1898)",Nasolamia velox,45QJD,1,Catalogue of Life,
119,Negaprion brevirostris,Negaprion brevirostris,31644,31666,10.49,2,NO_ANNOT,,,Exact,0,"Negaprion brevirostris (Poey, 1868)",Negaprion brevirostris,464NF,1,Catalogue of Life,
120,Prionace glauca,Prionace glauca,31979,31994,8.00,2,NO_ANNOT,,,Exact,0,"Prionace glauca (Linnaeus, 1758)",Prionace glauca,4MF6P,1,Catalogue of Life,
121,Eschmeyer,Eschmeyer,32520,32529,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
122,Carcharhinus,Carcharhinus,32623,32635,6.29,1,NO_ANNOT,,,Exact,0,Carcharhinus,Carcharhinus,3HC4,1,Catalogue of Life,
123,Rhizoprionodon longurio,Rhizoprionodon longurio,32659,32682,10.27,2,NO_ANNOT,,,Exact,0,"Rhizoprionodon longurio (Jordan & Gilbert, 1882)",Rhizoprionodon longurio,4SDDH,1,Catalogue of Life,
124,"Paita,",Paita,32917,32923,4.03,1,NO_ANNOT,,,Exact,0,"Paita Fauvel, 1904",Paita,urn:lsid:irmng.org:taxname:1346202,181,IRMNG,
125,Triaenodon obesus,Triaenodon obesus,33200,33217,10.81,2,NO_ANNOT,,,Exact,0,"Triaenodon obesus (Rüppell, 1837)",Triaenodon obesus,5855Q,1,Catalogue of Life,
126,Ogasawara,Ogasawara,33400,33409,3.82,1,NO_ANNOT,,,Exact,0,"Ogasawara Gressitt, 1937",Ogasawara,urn:lsid:irmng.org:taxname:1134205,181,IRMNG,
127,*Sphyrna corona,Sphyrna corona,34011,34026,5.56,2,NO_ANNOT,,,Exact,0,"Sphyrna corona Springer, 1940",Sphyrna corona,4Z2Q7,1,Catalogue of Life,
128,Sphyrna lewini,Sphyrna lewini,34450,34464,9.55,2,NO_ANNOT,,,Exact,0,"Sphyrna lewini (Griffith & Smith, 1834)",Sphyrna lewini,6YZZ2,1,Catalogue of Life,
129,Sphyrna lewini,Sphyrna lewini,35090,35104,9.55,2,NO_ANNOT,,,Exact,0,"Sphyrna lewini (Griffith & Smith, 1834)",Sphyrna lewini,6YZZ2,1,Catalogue of Life,
130,*Sphyrna media,Sphyrna media,35135,35149,5.24,2,NO_ANNOT,,,Exact,0,"Sphyrna media Springer, 1940",Sphyrna media,4Z2QG,1,Catalogue of Life,
131,Sphyrna mokarran,Sphyrna mokarran,35523,35539,8.29,2,NO_ANNOT,,,Exact,0,"Sphyrna mokarran (Rüppell, 1837)",Sphyrna mokarran,4Z2QK,1,Catalogue of Life,
132,Sphyrna mokarran may,Sphyrna mokarran may,36053,36073,5.60,3,NO_ANNOT,,,PartialExact,0,"Sphyrna mokarran (Rüppell, 1837)",Sphyrna mokarran,4Z2QK,1,Catalogue of Life,
133,Sphyrna tiburo,Sphyrna tiburo,36178,36192,7.81,2,NO_ANNOT,,,Exact,0,"Sphyrna tiburo (Linnaeus, 1758)",Sphyrna tiburo,4Z2QP,1,Catalogue of Life,
134,(Eschmeyer,Eschmeyer,36327,36337,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
135,(Eschmeyer,Eschmeyer,36396,36406,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
136,"Paita,",Paita,36427,36433,4.03,1,NO_ANNOT,,,Exact,0,"Paita Fauvel, 1904",Paita,urn:lsid:irmng.org:taxname:1346202,181,IRMNG,
137,Spyrna tiburo,Spyrna tiburo,36702,36715,7.52,2,NO_ANNOT,,,Fuzzy,1,"Sphyrna tiburo (Linnaeus, 1758)",Sphyrna tiburo,4Z2QP,1,Catalogue of Life,
138,Sphyrna zygaena,Sphyrna zygaena,36769,36784,9.88,2,NO_ANNOT,,,Exact,0,"Sphyrna zygaena (Linnaeus, 1758)",Sphyrna zygaena,4Z2QW,1,Catalogue of Life,
139,(Eschmeyer,Eschmeyer,37010,37020,3.98,1,NO_ANNOT,,,Exact,0,Eschmeyer,Eschmeyer,62RSJ,1,Catalogue of Life,
140,"Antonio,",Antonio,37054,37062,3.44,1,NO_ANNOT,,,NoMatch,,,,,,,
141,Hexanchiformes,Hexanchiformes,37283,37297,2.82,1,NO_ANNOT,,,Exact,0,Hexanchiformes,Hexanchiformes,3CC,1,Catalogue of Life,
