"","name","rank","phylum","class","subclass","order","family","genus","species"
"9107",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Cumacea","Nannastacidae","Cumella","Cumella (Cumella) californica"
"9108",NA,NA,"Mollusca","Gastropoda","Heterobranchia","Umbraculida","Tylodinidae","Tylodina",NA
"9109",NA,NA,"Chordata","Actinopteri","Teleostei","Ophidiiformes","Ophidiidae","Chilara","Chilara taylori"
"9110",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Amphipoda","Ampithoidae","Sunamphitoe",NA
"9111",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Columbellidae","Alia","Alia carinata"
"9112",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Neogastropoda","Columbellidae","Mitrella",NA
"9113",NA,NA,"Arthropoda","Thecostraca","Cirripedia",NA,"Peltogasterellidae","Peltogasterella","Peltogasterella gracilis"
"9114",NA,NA,"Mollusca","Bivalvia","Autobranchia","Lucinida","Thyasiridae","Thyasira",NA
"9115",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Phidoloporidae","Rhynchozoon","Rhynchozoon tubulosum"
"9116",NA,NA,"Chordata","Actinopteri","Teleostei","Myctophiformes","Myctophidae","Lampanyctus",NA
"9117",NA,NA,"Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Eranno","Eranno lagunae"
"9118",NA,NA,"Nemertea","Palaeonemertea",NA,NA,NA,NA,NA
"9119",NA,NA,"Annelida",NA,NA,"Sipuncula","Golfingiidae","Nephasoma",NA
"9120",NA,NA,"Mollusca","Bivalvia","Autobranchia",NA,"Lyonsiidae","Lyonsia","Lyonsia bracteata"
"9121",NA,NA,"Mollusca","Bivalvia","Autobranchia","Pectinida","Propeamussiidae","Cyclopecten","Cyclopecten carlottensis"
"9122",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Zoarcidae","Lycodapus","Lycodapus leptus"
"9123",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Anoplarchus",NA
"9124",NA,NA,"Porifera","Demospongiae","Heteroscleromorpha","Poecilosclerida","Esperiopsidae","Semisuberites","Semisuberites cribrosa"
"9125",NA,NA,"Porifera","Demospongiae","Heteroscleromorpha","Poecilosclerida","Cladorhizidae","Asbestopluma",NA
"9126",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Plectobranchus",NA
"9127",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Stichaeidae","Lumpenus","Lumpenus lampretaeformis"
"9128",NA,NA,"Porifera","Demospongiae","Heteroscleromorpha","Desmacellida","Desmacellidae","Desmacella",NA
"9129",NA,NA,"Annelida","Polychaeta","Errantia","Eunicida","Lumbrineridae","Lumbrineris","Lumbrineris limicola"
"9130",NA,NA,"Annelida","Polychaeta","Sedentaria","Sabellida","Sabellidae","Parasabella","Parasabella rugosa"
"9131",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Anthoathecata","Pandeidae","Stomotoca",NA
"9132",NA,NA,"Arthropoda","Ostracoda","Myodocopa","Myodocopida","Philomedidae","Philomedes",NA
"9133",NA,NA,"Hemichordata","Enteropneusta",NA,"[unassigned] Enteropneusta","Harrimaniidae","Saccoglossus",NA
"9134",NA,NA,"Cnidaria","Hydrozoa","Hydroidolina","Leptothecata","Haleciidae","Halecium","Halecium labrosum"
"9135",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Isopoda","Idoteidae","Synidotea","Synidotea minuta"
"9136",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Mysida","Mysidae","Pacifacanthomysis",NA
"9137",NA,NA,"Annelida","Polychaeta","Errantia","Phyllodocida","Polynoidae","Hololepida","Hololepida magna"
"9138",NA,NA,"Chordata","Actinopteri","Teleostei","Perciformes","Cyclopteridae","Eumicrotremus",NA
"9139",NA,NA,"Echinodermata","Asteroidea","Ambuloasteroidea","Forcipulatida","Asteriidae","Stylasterias",NA
"9140",NA,NA,"Bryozoa","Gymnolaemata",NA,"Cheilostomatida","Myriaporidae","Leieschara","Leieschara coarctata"
"9141",NA,NA,"Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Oregoniidae","Hyas","Hyas coarctatus"
"9142",NA,NA,"Annelida","Polychaeta","Sedentaria",NA,"Orbiniidae","Scoloplos","Scoloplos armiger"
"9143",NA,NA,"Mollusca","Gastropoda","Caenogastropoda","Littorinimorpha","Atlantidae","Atlanta",NA
"9144",NA,NA,"Arthropoda","Copepoda",NA,"Calanoida","Calanidae","Neocalanus","Neocalanus tonsus"
