Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Crystallichthys cameliae,Crystallichthys,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Crystallichthys cyclospilus,Crystallichthys,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Crystallichthys mirabilis,Crystallichthys,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cyclothone acclinidens,Cyclothone,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cyclothone atraria,Cyclothone,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cyclothone pallida,Cyclothone,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cyclothone pseudopallida,Cyclothone,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cyclothone signata,Cyclothone,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cyema atrum,Cyema,NA,Cyematidae,Saccopharyngiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Cymatogaster aggregata,Cymatogaster,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Danaphos oculatus,Danaphos,Maurolicinae,Sternoptychidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Dasycottus setiger,Dasycottus,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Derepodichthys alepidotus,Derepodichthys,Lycodinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Diaphus theta,Diaphus,Diaphinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Dicrolene filamentosa,Dicrolene,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Dicrolene gregoryi,Dicrolene,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Dicrolene pullata,Dicrolene,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Diplophos taenia,Diplophos,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Diretmoides pauciradiatus,Diretmoides,NA,Diretmidae,Trachichthyiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ditropichthys storeri,Ditropichthys,NA,Cetomimidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Dolicholagus longirostris,Dolicholagus,NA,Bathylagidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Dolichopteryx parini,Dolichopteryx,NA,Opisthoproctidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Elassodiscus caudatus,Elassodiscus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Elassodiscus tremebundus,Elassodiscus,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Electrona risso,Electrona,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eleginus gracilis,Eleginus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Embassichthys bathybius,Embassichthys,Microstominae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Embiotoca lateralis,Embiotoca,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Engraulis japonicus,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Engraulis mordax,Engraulis,Engraulinae,Engraulidae,Clupeiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Enophrys bison,Enophrys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Enophrys diceraus,Enophrys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Enophrys lucasi,Enophrys,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Entosphenus tridentatus,Entosphenus,Lampetrinae,Petromyzontidae,Petromyzontiformes,Petromyzonti,Agnatha,"Pacific, Northeast",native
Entosphenus tridentatus,Entosphenus,Lampetrinae,NA,NA,NA,NA,"Pacific, Northeast",native
Eopsetta jordani,Eopsetta,Hippoglossinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eptatretus deani,Eptatretus,Eptatretinae,Myxinidae,Myxiniformes,Myxini,Agnatha,"Pacific, Northeast",native
Eptatretus deani,Eptatretus,Eptatretinae,NA,NA,NA,NA,"Pacific, Northeast",native
Eptatretus stoutii,Eptatretus,Eptatretinae,Myxinidae,Myxiniformes,Myxini,Agnatha,"Pacific, Northeast",native
Eptatretus stoutii,Eptatretus,Eptatretinae,NA,NA,NA,NA,"Pacific, Northeast",native
Erilepis zonifer,Erilepis,NA,Anoplopomatidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumesogrammus praecisus,Eumesogrammus,Stichaeinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumicrotremus andriashevi,Eumicrotremus,Eumicrotreminae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumicrotremus asperrimus,Eumicrotremus,Eumicrotreminae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumicrotremus barbatus,Eumicrotremus,Eumicrotreminae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumicrotremus gyrinops,Eumicrotremus,Eumicrotreminae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumicrotremus orbis,Eumicrotremus,Eumicrotreminae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eumicrotremus phrynoides,Eumicrotremus,Eumicrotreminae,Cyclopteridae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eurymen gyrinus,Eurymen,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Eustomias woollardi,Eustomias,Melanostomiinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Evermannella indica,Evermannella,NA,Evermannellidae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Fodiator acutus,Fodiator,NA,Exocoetidae,Beloniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gadus chalcogrammus,Gadus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gadus macrocephalus,Gadus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Galeocerdo cuvier,Galeocerdo,NA,Carcharhinidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Galeorhinus galeus,Galeorhinus,Galeorhininae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Gasterosteus aculeatus,Gasterosteus,NA,Gasterosteidae,Perciformes/Gasterosteoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Genioliparis ferox,Genioliparis,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Genyonemus lineatus,Genyonemus,NA,Sciaenidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gibbonsia metzi,Gibbonsia,NA,Clinidae,Blenniiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gibbonsia montereyensis,Gibbonsia,NA,Clinidae,Blenniiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gigantactis gargantua,Gigantactis,NA,Gigantactinidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gigantactis macronema,Gigantactis,NA,Gigantactinidae,Lophiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Glyptocephalus zachirus,Glyptocephalus,Microstominae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gobiesox maeandricus,Gobiesox,Gobiesocinae,Gobiesocidae,Gobiesociformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gonostoma atlanticum,Gonostoma,NA,Gonostomatidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnelus hemifasciatus,Gymnelus,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnelus obscurus,Gymnelus,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnelus popovi,Gymnelus,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnelus viridis,Gymnelus,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnocanthus detrisus,Gymnocanthus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnocanthus galeatus,Gymnocanthus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnocanthus pistilliger,Gymnocanthus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gymnoclinus cristulatus,Gymnoclinus,Chirolophinae,Stichaeidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Gyrinichthys minytremus,Gyrinichthys,NA,Liparidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",endemic
Halargyreus johnsonii,Halargyreus,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemilepidotus gilberti,Hemilepidotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemilepidotus hemilepidotus,Hemilepidotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemilepidotus jordani,Hemilepidotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemilepidotus papilio,Hemilepidotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemilepidotus spinosus,Hemilepidotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemilepidotus zapus,Hemilepidotus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemitripterus bolini,Hemitripterus,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hemitripterus villosus,Hemitripterus,Hemitripteridae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Heterodontus francisci,Heterodontus,NA,Heterodontidae,Heterodontiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Heterodontus francisci,Heterodontus,NA,NA,NA,NA,NA,"Pacific, Northeast",native
Hexagrammos decagrammus,Hexagrammos,Hexagramminae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hexagrammos lagocephalus,Hexagrammos,Hexagramminae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hexagrammos octogrammus,Hexagrammos,Hexagramminae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hexagrammos stelleri,Hexagrammos,Hexagramminae,Hexagrammidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hexanchus griseus,Hexanchus,NA,Hexanchidae,Hexanchiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Hexanchus griseus,Hexanchus,NA,NA,NA,NA,NA,"Pacific, Northeast",native
Hippoglossoides elassodon,Hippoglossoides,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hippoglossoides robustus,Hippoglossoides,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hippoglossus stenolepis,Hippoglossus,Hippoglossinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Histiobranchus bathybius,Histiobranchus,Synaphobranchinae,Synaphobranchidae,Anguilliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Holcomycteronus profundissimus,Holcomycteronus,Neobythitinae,Ophidiidae,Ophidiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Holtbyrnia innesi,Holtbyrnia,NA,Platytroctidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Holtbyrnia latifrons,Holtbyrnia,NA,Platytroctidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hydrolagus colliei,Hydrolagus,NA,Chimaeridae,Chimaeriformes,Holocephali,Chondrichthyes,"Pacific, Northeast",native
Hydrolagus melanophasma,Hydrolagus,NA,Chimaeridae,Chimaeriformes,Holocephali,Chondrichthyes,"Pacific, Northeast",native
Hygophum reinhardtii,Hygophum,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hypanus dipterurus,Hypanus,Dasyatinae,Dasyatidae,Myliobatiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Hyperprosopon anale,Hyperprosopon,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hyperprosopon argenteum,Hyperprosopon,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hyperprosopon ellipticum,Hyperprosopon,NA,Embiotocidae,Ovalentaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hypomesus pretiosus,Hypomesus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Hypsagonus quadricornis,Hypsagonus,Hypsagoninae,Agonidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelinus borealis,Icelinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelinus burchami,Icelinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelinus filamentosus,Icelinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelinus fimbriatus,Icelinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelinus tenuis,Icelinus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelus canaliculatus,Icelus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelus euryops,Icelus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelus spatula,Icelus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelus spiniger,Icelus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icelus uncinalis,Icelus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ichthyococcus elongatus,Ichthyococcus,NA,Phosichthyidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Ichthyococcus irregularis,Ichthyococcus,NA,Phosichthyidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icichthys lockingtoni,Icichthys,NA,Centrolophidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Icosteus aenigmaticus,Icosteus,NA,Icosteidae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Idiacanthus antrostomus,Idiacanthus,Idiacanthinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Isopsetta isolepis,Isopsetta,Pleuronectinae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Isurus oxyrinchus,Isurus,NA,NA,NA,NA,NA,"Pacific, Northeast",native
Isurus oxyrinchus,Isurus,NA,Lamnidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Jordania zonope,Jordania,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Katsuwonus pelamis,Katsuwonus,Scombrinae,Scombridae,Scombriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Laemonema longipes,Laemonema,NA,Moridae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lamna ditropis,Lamna,NA,Lamnidae,Lamniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Lamna ditropis,Lamna,NA,NA,NA,NA,NA,"Pacific, Northeast",native
Lampadena urophaos,Lampadena,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lampadena yaquinae,Lampadena,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Lampanyctus acanthurus,Lampanyctus,Lampanyctinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
