Species,Genus,Subfamily,Family,Order,Class,SuperClass,FAO,Status
Macropinna microstoma,Macropinna,NA,Opisthoproctidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Magnisudis atlantica,Magnisudis,NA,Paralepididae,Aulopiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Makaira nigricans,Makaira,NA,Istiophoridae,Carangiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Malacocottus aleuticus,Malacocottus,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Malacocottus kincaidi,Malacocottus,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Malacocottus zonurus,Malacocottus,NA,Psychrolutidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Malacosteus niger,Malacosteus,Malacosteinae,Stomiidae,Stomiiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Mallotus villosus,Mallotus,NA,Osmeridae,Osmeriformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Maulisia argipalla,Maulisia,NA,Platytroctidae,Alepocephaliformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Medialuna californiensis,Medialuna,NA,Scorpididae,Centrarchiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Megalocottus platycephalus,Megalocottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Melamphaes lugubris,Melamphaes,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Melamphaes parvus,Melamphaes,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Melamphaes polylepis,Melamphaes,NA,Melamphaidae,Beryciformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Melanolagus bericoides,Melanolagus,NA,Bathylagidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Melanonus zugmayeri,Melanonus,NA,Melanonidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Melanostigma pammelas,Melanostigma,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Merluccius productus,Merluccius,NA,Merlucciidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Microcottus sellaris,Microcottus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Microgadus proximus,Microgadus,NA,Gadidae,Gadiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Microstomus pacificus,Microstomus,Microstominae,Pleuronectidae,Pleuronectiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Mola mola,Mola,NA,Molidae,Tetraodontiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Morone saxatilis,Morone,NA,Moronidae,Eupercaria/misc,Actinopteri,Osteichthyes,"Pacific, Northeast",introduced
Mustelus californicus,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Mustelus henlei,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Mustelus lunulatus,Mustelus,Triakinae,Triakidae,Carcharhiniformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Myctophum nitidulum,Myctophum,Myctophinae,Myctophidae,Myctophiformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Myliobatis californica,Myliobatis,NA,Myliobatidae,Myliobatiformes,Elasmobranchii,Chondrichthyes,"Pacific, Northeast",native
Myoxocephalus jaok,Myoxocephalus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Myoxocephalus niger,Myoxocephalus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Myoxocephalus polyacanthocephalus,Myoxocephalus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Myoxocephalus quadricornis,Myoxocephalus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Myoxocephalus scorpius,Myoxocephalus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Myoxocephalus stelleri,Myoxocephalus,NA,Cottidae,Perciformes/Cottoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nalbantichthys elongatus,Nalbantichthys,Gymnelinae,Zoarcidae,Perciformes/Zoarcoidei,Actinopteri,Osteichthyes,"Pacific, Northeast",native
Nansenia candida,Nansenia,NA,Microstomatidae,Argentiniformes,Actinopteri,Osteichthyes,"Pacific, Northeast",native
