query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Dermacentor silvarum,Ixodidae,507394,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Dermacentor everestianus,Ixodidae,3525417,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Haemaphysalis qinghaiensis,Ixodidae,8833,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Proasellus assaforensis,Asellidae,4669900,148665,Asellidae,"Rafinesque, 1815",accepted,NA,Family,148665,Asellidae,"Rafinesque, 1815",155713,Animalia,Arthropoda,Malacostraca,Isopoda,NA,0,1,1,0,0,exact
Galkinius decimus,Pyrgomatidae,671369,106058,Pyrgomatidae,"Gray, 1825",accepted,NA,Family,106058,Pyrgomatidae,"Gray, 1825",106041,Animalia,Arthropoda,Thecostraca,Balanomorpha,NA,1,NA,NA,NA,0,exact
Galkinius depressus,Pyrgomatidae,751027,106058,Pyrgomatidae,"Gray, 1825",accepted,NA,Family,106058,Pyrgomatidae,"Gray, 1825",106041,Animalia,Arthropoda,Thecostraca,Balanomorpha,NA,1,NA,NA,NA,0,exact
Paradoxiclamousella fideli,Bathynellidae,5511798,1039066,Bathynellidae,"Grobben, 1905",accepted,NA,Family,1039066,Bathynellidae,"Grobben, 1905",149671,Animalia,Arthropoda,Malacostraca,Bathynellacea,NA,0,1,1,0,NA,exact
Paradoxiclamousella pirata,Bathynellidae,5511797,1039066,Bathynellidae,"Grobben, 1905",accepted,NA,Family,1039066,Bathynellidae,"Grobben, 1905",149671,Animalia,Arthropoda,Malacostraca,Bathynellacea,NA,0,1,1,0,NA,exact
Thiratoscirtinae,Salticidae,NULL,150472,Salticidae,"Blackwall, 1841",accepted,NA,Family,150472,Salticidae,"Blackwall, 1841",150467,Animalia,Arthropoda,Arachnida,Araneae,NA,1,NA,NA,1,NA,exact
Ixodes pavlovskyi,Ixodidae,310083,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Haemaphysalis concinna,Ixodidae,956594,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Haemaphysalis sulcata,Ixodidae,396112,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes arboricola,Ixodidae,468567,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes hexagonus,Ixodidae,493147,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
Ixodes redikorzevi,Ixodidae,822315,762201,Ixodidae,"Koch, 1844",accepted,NA,Family,762201,Ixodidae,"Koch, 1844",762031,Animalia,Arthropoda,Arachnida,Ixodida,NA,1,NA,NA,NA,NA,exact
