"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"181","Chiromantes dehaani","Chiromantes dehaani","Sesarma dehaani","species",912534,TRUE,"sibling_higher"
"182","Nanhaipotamon wenzhouense","Nanhaipotamon wenzhouense","Nanhaipotamon wenzhouense","species",799084,FALSE,NA
"183","Austruca mjoebergi","Austruca mjoebergi","Austruca mjoebergi","species",825298,FALSE,NA
"184","Geothelphusa makatao","Geothelphusa makatao","Geothelphusa makatao","species",939801,FALSE,NA
"185","Geothelphusa ancylophallus","Geothelphusa ancylophallus","Geothelphusa ancylophallus","species",640824,FALSE,NA
"186","Sergia lucens","Sergia lucens","Sergia lucens","species",59180,FALSE,"sibling_higher"
"187","Chionoecetes angulatus","Chionoecetes angulatus","Chionoecetes angulatus","species",581255,FALSE,NA
"188","Chionoecetes tanneri","Chionoecetes tanneri","Chionoecetes tanneri","species",1050467,FALSE,NA
"189","Acanthodiaptomus denticornis","Acanthodiaptomus denticornis","Acanthodiaptomus denticornis","species",683724,FALSE,NA
"190","Neoseiulus californicus","Neoseiulus californicus","Neoseiulus californicus","species",775023,FALSE,NA
"191","Neoseiulus womersleyi","Neoseiulus womersleyi","Neoseiulus womersleyi","species",792194,FALSE,NA
"192","Euseius finlandicus","Euseius finlandicus","Euseius finlandicus","species",792568,FALSE,NA
"193","Calcinus laevimanus","Calcinus laevimanus","Calcinus laevimanus","species",624054,FALSE,NA
"194","Calcinus latens","Calcinus latens","Calcinus latens","species",102412,FALSE,NA
"195","Crangonyx floridanus","Crangonyx floridanus","Crangonyx floridanus","species",670228,FALSE,NA
"196","Sennertia","Sennertia","Sennertia","genus",575023,FALSE,NA
"197","Microloxoconcha ikeyai","Microloxoconcha ikeyai","Microloxoconcha ikeyai","species",208848,FALSE,NA
"198","Microloxoconcha dimorpha","Microloxoconcha dimorpha","Microloxoconcha dimorpha","species",208845,FALSE,NA
"199","Hygrobates fluviatilis","Hygrobates fluviatilis","Hygrobates fluviatilis","species",587694,FALSE,"sibling_higher"
"200","Sperchon","Sperchon","Sperchon","genus",729994,FALSE,"sibling_higher"
"201","Sperchonopsis","Sperchonopsis","Sperchonopsis","genus",1068863,FALSE,"sibling_higher"
"202","Torrenticola","Torrenticola","Torrenticola (genus in Opisthokonta)","genus",542632,FALSE,NA
"203","Eylais","Eylais","Eylais","genus",1068864,FALSE,NA
"204","Atractides","Atractides","Atractides","genus",728544,FALSE,NA
"205","Gelasimusocultrimana","Gelasimusocultrimana","Gelasimus neocultrimanus",NA,729969,FALSE,"sibling_higher"
"206","Geothelphusa bicolor","Geothelphusa bicolor","Geothelphusa bicolor","species",650034,FALSE,NA
"207","Geothelphusa cinerea","Geothelphusa cinerea","Geothelphusa cinerea","species",155206,FALSE,NA
"208","Geothelphusa chiui","Geothelphusa chiui","Geothelphusa chiui","species",155212,FALSE,NA
"209","Geothelphusanao","Geothelphusanao","Geothelphusa nanao",NA,155210,FALSE,NA
"210","Geothelphusa taroko","Geothelphusa taroko","Geothelphusa taroko","species",155216,FALSE,NA
"211","Geothelphusa dolichopodes","Geothelphusa dolichopodes","Geothelphusa dolichopodes","species",155214,FALSE,NA
"212","Geothelphusa ilan","Geothelphusa ilan","Geothelphusa ilan","species",155220,FALSE,NA
"213","Geothelphusa eurysoma","Geothelphusa eurysoma","Geothelphusa eurysoma","species",155218,FALSE,NA
"214","Geothelphusa gracilipes","Geothelphusa gracilipes","Geothelphusa gracilipes","species",155203,FALSE,NA
"215","Geothelphusa takuan","Geothelphusa takuan","Geothelphusa takuan","species",155201,FALSE,NA
"216","Geothelphusa monticola","Geothelphusa monticola","Geothelphusa monticola","species",856171,FALSE,NA
"217","Geothelphusa eucrinodonta","Geothelphusa eucrinodonta","Geothelphusa eucrinodonta","species",678366,FALSE,NA
"218","Geothelphusa tsayae","Geothelphusa tsayae","Geothelphusa tsayae","species",678368,FALSE,NA
"219","Geothelphusa miyazakii","Geothelphusa miyazakii","Geothelphusa miyazakii","species",119228,FALSE,NA
"220","Geothelphusa lili","Geothelphusa lili","Geothelphusa lili","species",264642,FALSE,NA
"221","Simocephalus heilongjiangensis","Simocephalus heilongjiangensis","Simocephalus heilongjiangensis","species",300245,FALSE,NA
"222","Daphnia similoides","Daphnia similoides","Daphnia similoides","species",300243,FALSE,NA
"223","Diaphanosoma dubium","Diaphanosoma dubium","Diaphanosoma dubium","species",300238,FALSE,NA
"224","Huananpotamonnchengense","Huananpotamonnchengense","Huananpotamon nanchengense",NA,1062831,FALSE,NA
"225","Scopimera curtelsoma","Scopimera curtelsoma","Scopimera curtelsoma","species",949613,FALSE,NA
"226","Calommata signata","Calommata signata","Calommata signata","species",528982,FALSE,NA
"227","Pseudodiaptomusnsei","Pseudodiaptomusnsei","Pseudodiaptomus nansei",NA,35030,FALSE,NA
"228","Neodiaptomus schmackeri","Neodiaptomus schmackeri","Neodiaptomus schmackeri","species",757822,FALSE,NA
"229","Mongolodiaptomus birulai","Mongolodiaptomus birulai","Mongolodiaptomus birulai","species",176298,FALSE,NA
"230","Sayamia sexpunctata","Sayamia sexpunctata","Sayamia sexpunctata","species",511645,FALSE,NA
"231","Sayamia bangkokensis","Sayamia bangkokensis","Sayamia bangkokensis","species",19001,FALSE,NA
"232","Sayamia maehongsonensis","Sayamia maehongsonensis","Sayamia maehongsonensis",NA,4667060,FALSE,NA
"233","Siamthelphusa improvisa","Siamthelphusa improvisa","Siamthelphusa improvisa","species",18995,FALSE,NA
"234","Geothelphusa yangmingshan","Geothelphusa yangmingshan","Geothelphusa yangmingshan","species",178967,FALSE,NA
"235","Geothelphusa minei","Geothelphusa minei","Geothelphusa minei","species",953257,FALSE,NA
"236","Geothelphusa hirsuta","Geothelphusa hirsuta","Geothelphusa hirsuta","species",178973,FALSE,NA
"237","Geothelphusa fulva","Geothelphusa fulva","Geothelphusa fulva","species",178971,FALSE,NA
"238","Geothelphusa marginata","Geothelphusa marginata","Geothelphusa marginata","species",139843,FALSE,NA
"239","Geothelphusa amagui","Geothelphusa amagui","Geothelphusa amagui","species",702308,FALSE,NA
"240","Burmoniscus dasystylus","Burmoniscus dasystylus","Burmoniscus dasystylus","species",926064,FALSE,NA
"241","Burmoniscus ocellatus","Burmoniscus ocellatus","Burmoniscus ocellatus","species",926062,FALSE,NA
"242","Burmoniscus okinawaensis","Burmoniscus okinawaensis","Burmoniscus okinawaensis","species",926060,FALSE,NA
"243","Burmoniscus purpura","Burmoniscus purpura","Burmoniscus purpura","species",926058,FALSE,NA
"244","Burmoniscus","Burmoniscus","Burmoniscus","genus",926066,FALSE,NA
"245","Ligidium ryukyuense","Ligidium ryukyuense","Ligidium ryukyuense","species",926067,FALSE,"sibling_higher"
"246","Acarapis woodi","Acarapis woodi","Acarapis woodi","species",861868,FALSE,NA
"247","Eurytemora affinis","Eurytemora affinis","Eurytemora affinis","species",850982,FALSE,NA
"248","Macrophthalmus banzai","Macrophthalmus banzai","Macrophthalmus banzai","species",624430,FALSE,NA
"249","Ocypode cordimanus","Ocypode cordimanus","Ocypode cordimana","species",2981539,TRUE,"sibling_higher"
"250","Tylos granuliferus","Tylos granuliferus","Tylos granuliferus","species",2994762,FALSE,NA
"251","Tylos","Tylos","Tylos (genus in subphylum Crustacea)","genus",857779,FALSE,NA
"252","Austinogebiarutensis","Austinogebiarutensis","Austinogebia narutensis",NA,958669,FALSE,NA
"253","Chorocaris","Chorocaris","Rimicaris","genus",786781,TRUE,NA
"254","Peltogaster lineatus","Peltogaster lineatus","Peltogaster lineatus","species",2959140,FALSE,NA
