"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"102","Burmoniscus","Burmoniscus",NA,NA,NA,NA,926066,NA,"Burmoniscus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"103","Ligidium ryukyuense","Ligidium ryukyuense",NA,NA,NA,NA,926067,NA,"Ligidium ryukyuense",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"104","Acarapis externus","Acarapis externus",NA,NA,NA,NA,954711,NA,"Acarapis externus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"105","Macrophthalmus banzai","Macrophthalmus banzai",NA,NA,NA,NA,624430,NA,"Macrophthalmus banzai",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"106","Ocypode cordimanus","Ocypode cordimana",NA,NA,NA,NA,2981539,NA,"Ocypode cordimana",NA,NA,"Arthropoda",NA,NA,TRUE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"107","Tylos granuliferus","Tylos granuliferus",NA,NA,NA,NA,2994762,NA,"Tylos granuliferus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"108","Tylos","Tylos (genus in subphylum Crustacea)",NA,NA,NA,NA,857779,NA,"Tylos (genus in subphylum Crustacea)",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"109","Chorocaris","Rimicaris",NA,NA,NA,NA,786781,NA,"Rimicaris",NA,NA,"Arthropoda",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"110","Sarcoptes scabiei","Sarcoptes scabiei",NA,NA,NA,NA,64848,NA,"Sarcoptes scabiei",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"111","Tiwaripotamon vietnamicum","Tiwaripotamon vietnamicum",NA,NA,NA,NA,2977278,NA,"Tiwaripotamon vietnamicum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"112","Tiwaripotamon","Tiwaripotamon",NA,NA,NA,NA,439310,NA,"Tiwaripotamon",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"113","Rhipicephalus evertsi","Rhipicephalus evertsi",NA,NA,NA,NA,176530,NA,"Rhipicephalus evertsi",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"114","Discoplax hirtipes","Discoplax hirtipes",NA,NA,NA,NA,1039078,NA,"Discoplax hirtipes",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"115","Discoplax celeste","Discoplax celeste",NA,NA,NA,NA,432436,NA,"Discoplax celeste",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"116","Discoplax rotunda","Discoplax rotunda",NA,NA,NA,NA,2981492,NA,"Discoplax rotunda",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"117","Discoplax longipes","Discoplax longipes",NA,NA,NA,NA,2981489,NA,"Discoplax longipes",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"118","Discoplax gracilipes","Discoplax gracilipes",NA,NA,NA,NA,2981491,NA,"Discoplax gracilipes",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"119","Cardisoma armatum","Cardisoma armatum",NA,NA,NA,NA,101299,NA,"Cardisoma armatum",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"120","Potimirim glabra","Potimirim glabra",NA,NA,NA,NA,138627,NA,"Potimirim glabra",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
