taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Candona candida,Candonidae,2962291,127489,Candonidae,"Kaufmann, 1900",accepted,NA,Family,127489,Candonidae,"Kaufmann, 1900",127476,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,1,0,0,exact
Alona glabra,Chydoridae,287275,148356,Chydoridae,"Dybowski & Grochowski, 1894",accepted,NA,Family,148356,Chydoridae,"Dybowski & Grochowski, 1894",106259,Animalia,Arthropoda,Branchiopoda,Anomopoda,NA,1,1,1,0,NA,exact
Hippomedon propinquus,Lysianassidae,4671856,101395,Lysianassidae,"Dana, 1849",accepted,NA,Family,101395,Lysianassidae,"Dana, 1849",176788,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,NA,NA,NA,NA,exact
Notodromas,Cyprididae,NULL,146873,Cyprididae,"Baird, 1845",accepted,NA,Family,146873,Cyprididae,"Baird, 1845",127476,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,1,0,0,exact
Oppia nitens,Oppiidae,3529617,449174,Oppiidae,"Sellnick, 1937",accepted,NA,Family,449174,Oppiidae,"Sellnick, 1937",150380,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,NA,1,NA,exact
Poecilochirus carabi,Parasitidae,4680933,150335,Parasitidae,NA,accepted,NA,Family,150335,Parasitidae,NA,762054,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,1,NA,NA,1,NA,exact
Potamocypris unicaudata,Cyprididae,2962013,146873,Cyprididae,"Baird, 1845",accepted,NA,Family,146873,Cyprididae,"Baird, 1845",127476,Animalia,Arthropoda,Ostracoda,Podocopida,NA,1,1,1,0,0,exact
Charybdis longicollis,Portunidae,2979047,106763,Portunidae,"Rafinesque, 1815",accepted,NA,Family,106763,Portunidae,"Rafinesque, 1815",106702,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Xantho incisus,Xanthidae,842900,106769,Xanthidae,"MacLeay, 1838",accepted,NA,Family,106769,Xanthidae,"MacLeay, 1838",106703,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,1,0,0,0,exact
Heminothrus thori,Camisiidae,363374,449173,Camisiidae,"Oudemans, 1900",accepted,NA,Family,449173,Camisiidae,"Oudemans, 1900",449172,Animalia,Arthropoda,Arachnida,Sarcoptiformes,NA,1,NA,1,1,NA,exact
Cheirocratus sundevalli,Cheirocratidae,2982759,430450,Cheirocratidae,"d'Udekem d'Acoz, 2010",accepted,NA,Family,430450,Cheirocratidae,"d'Udekem d'Acoz, 2010",719505,Animalia,Arthropoda,Malacostraca,Amphipoda,NA,1,0,0,0,NA,exact
Androlaelaps casalis,Laelapidae,631982,150322,Laelapidae,"Berlese, 1892",accepted,NA,Family,150322,Laelapidae,"Berlese, 1892",762060,Animalia,Arthropoda,Arachnida,Mesostigmata,NA,1,NA,NA,NA,NA,exact
Romaleon polyodon,Cancridae,338358,106749,Cancridae,"Latreille, 1802",accepted,NA,Family,106749,Cancridae,"Latreille, 1802",106695,Animalia,Arthropoda,Malacostraca,Decapoda,NA,1,0,0,0,0,exact
