query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Amynthas shinanmontis,Megascolecidae,2845402,22960,Megascolecidae,"Rosa, 1891",accepted,NA,Family,22960,Megascolecidae,"Rosa, 1891",468019,Animalia,Annelida,Clitellata,Crassiclitellata,NA,1,1,NA,1,NA,exact
Phascolion cryptum,Phascolionidae,575837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phascolion psammophilus,Phascolionidae,167065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phascolosoma capitatum,Phascolosomatidae,167072,1645,Phascolosomatidae,"Stephen & Edmonds, 1972",accepted,NA,Family,1645,Phascolosomatidae,"Stephen & Edmonds, 1972",1268,Animalia,Annelida,NA,Sipuncula,NA,1,0,0,0,NA,exact
Eunice websteri,Eunicidae,4978390,966,Eunicidae,"Berthold, 1827",accepted,NA,Family,966,Eunicidae,"Berthold, 1827",895,Animalia,Annelida,Polychaeta,Eunicida,NA,1,0,0,0,0,exact
Nicidion insularis,Eunicidae,4978555,966,Eunicidae,"Berthold, 1827",accepted,NA,Family,966,Eunicidae,"Berthold, 1827",895,Animalia,Annelida,Polychaeta,Eunicida,NA,1,0,0,0,0,exact
Nicidion hentscheli,Eunicidae,4978634,966,Eunicidae,"Berthold, 1827",accepted,NA,Family,966,Eunicidae,"Berthold, 1827",895,Animalia,Annelida,Polychaeta,Eunicida,NA,1,0,0,0,0,exact
Globulidrilus riparius,Enchytraeidae,2846803,2038,Enchytraeidae,"d'Udekem, 1855",accepted,NA,Family,2038,Enchytraeidae,"d'Udekem, 1855",468017,Animalia,Annelida,Clitellata,Enchytraeida,NA,1,1,1,1,NA,exact
Limnobdella grandis,Hirudinidae,7911777,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Geodrilus singularis,Acanthodrilidae,7912606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scolelepis daphoinos,Spionidae,527100,913,Spionidae,"Grube, 1850",accepted,NA,Family,913,Spionidae,"Grube, 1850",909,Animalia,Annelida,Polychaeta,Spionida,NA,1,0,0,0,0,exact
Aricidea belgicae,Paraonidae,4978140,903,Paraonidae,"Cerruti, 1909",accepted,NA,Family,903,Paraonidae,"Cerruti, 1909",183607,Animalia,Annelida,Polychaeta,NA,NA,1,0,0,0,0,exact
Crangonobdella spitzbergensis,Piscicolidae,269149,2043,Piscicolidae,"Johnston, 1865",accepted,NA,Family,2043,Piscicolidae,"Johnston, 1865",2117,Animalia,Annelida,Clitellata,Rhynchobdellida,NA,1,1,1,0,NA,exact
Chtonobdella fallax,Haemadipsidae,831379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,Siboglinidae,NULL,129096,Siboglinidae,"Caullery, 1914",accepted,NA,Family,129096,Siboglinidae,"Caullery, 1914",901,Animalia,Annelida,Polychaeta,Sabellida,NA,1,0,0,0,0,exact
