"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"124","Onykia ingens","Onykia ingens","Onykia ingens","species",784784,FALSE,NA
"125","Euhadra idzumonis","Euhadra idzumonis","Euhadra idzumonis","species",227388,FALSE,NA
"126","Euhadra herklotsi","Euhadra herklotsi","Euhadra herklotsi","species",63205,FALSE,NA
"127","Satsuma iheyaensis","Satsuma iheyaensis","Satsuma iheyaensis","species",400407,FALSE,NA
"128","Xenostrobus atratus","Xenostrobus atratus","Xenostrobus atratus","species",150616,FALSE,NA
"129","Macroschisma dilatata","Macroschisma dilatata","Macroschisma dilatatum","species",837134,TRUE,NA
"130","Rimula exquisita","Rimula exquisita","Cranopsis exquisita","species",1088001,TRUE,NA
"131","Liotina semiclathratula","Liotina semiclathratula","Liotina semiclathratula","species",281559,FALSE,NA
"132","Agathodontartoni","Agathodontartoni","Clypeostoma nortoni",NA,209091,FALSE,NA
"133","Herpetopoma pauperculus","Herpetopoma pauperculus","Herpetopoma pauperculus","species",281565,FALSE,NA
"134","Turcica coreensis","Turcica coreensis","Turcica monilifera","species",452185,TRUE,NA
"135","Amphioctopusglectus","Amphioctopusglectus","Amphioctopus neglectus",NA,5505407,FALSE,NA
"136","Octopus longispadiceus","Octopus longispadiceus","Octopus longispadiceus","species",711381,FALSE,"hidden"
"137","Pomacea canaliculata","Pomacea canaliculata","Pomacea canaliculata","species",229287,FALSE,NA
"138","Pomacea insularum","Pomacea insularum","Pomacea insularum","species",178951,FALSE,NA
"139","Neritina asperulata","Neritina asperulata","Neripteron asperulatum","species",1036779,TRUE,NA
"140","Neritina canalis","Neritina canalis","Neritina canalis","species",211849,FALSE,NA
"141","Neritina iris","Neritina iris","Neritina iris","species",1036777,FALSE,NA
"142","Neritina powisiana","Neritina powisiana","Neritina powisiana","species",1036773,FALSE,NA
"143","Septaria porcellana","Septaria porcellana","Septaria porcellana","species",843054,FALSE,NA
"144","Vesicomya stearnsii","Vesicomya stearnsii","Vesicomya stearnsii","species",472965,FALSE,NA
"145","Akebiconcha kawamurai","Akebiconcha kawamurai","Akebiconcha kawamurai",NA,277177,FALSE,NA
"146","Satsuma selasia","Satsuma selasia","Satsuma selasia","species",1036314,FALSE,NA
