"","taxa_query","taxa","tol_sciname","rank","ott_id","is_synonym","flags"
"233","Parakneria cameronensis","Parakneria cameronensis","Parakneria cameronensis","species",80442,FALSE,NA
"234","Chitala ornata","Chitala ornata","Chitala ornata","species",812407,FALSE,NA
"235","Notopterustopterus","Notopterustopterus","Notopterus notopterus",NA,904617,FALSE,NA
"236","Gnathonemus petersii","Gnathonemus petersii","Gnathonemus petersii","species",115478,FALSE,NA
"237","Gymnarchusloticus","Gymnarchusloticus","Gymnarchus niloticus",NA,115490,FALSE,NA
"238","Pseudaspius leptocephalus","Pseudaspius leptocephalus","Pseudaspius leptocephalus","species",14745,FALSE,NA
"239","Xenocypris argentea","Xenocypris argentea","Xenocypris argentea","species",141417,FALSE,NA
"240","Rhynchocypris percnurus","Rhynchocypris percnurus","Rhynchocypris percnurus","species",44672,FALSE,NA
"241","Astronotus ocellatus","Astronotus ocellatus","Astronotus ocellatus","species",952936,FALSE,NA
"242","Rhynchocypris lagowskii","Rhynchocypris lagowskii","Rhynchocypris lagowskii","species",44648,FALSE,NA
"243","Phoxinus steindachneri","Phoxinus steindachneri","Phoxinus steindachneri",NA,1088991,FALSE,NA
"244","Chrosomus eos","Chrosomus eos","Chrosomus eos","species",63845,FALSE,NA
"245","Ostracion immaculatus","Ostracion immaculatus","Ostracion immaculatus","species",1044207,FALSE,NA
"246","Nelusetta ayraudi","Nelusetta ayraudi","Nelusetta ayraudi",NA,333698,FALSE,NA
"247","Pseudalutariussicornis","Pseudalutariussicornis","Pseudalutarius nasicornis",NA,425087,FALSE,NA
"248","Acrossocheilus paradoxus","Acrossocheilus paradoxus","Acrossocheilus paradoxus","species",409773,FALSE,NA
"249","Pseudogobio esocinus","Pseudogobio esocinus","Pseudogobio esocinus","species",424407,FALSE,NA
"250","Onychostoma barbatulum","Onychostoma barbatulum","Onychostoma barbatulum","species",167322,FALSE,NA
"251","Tanakia himantegus","Tanakia himantegus","Tanakia himantegus","species",767950,FALSE,NA
"252","Enteromius callipterus","Enteromius callipterus","Enteromius callipterus","species",205588,FALSE,NA
"253","Enteromius guirali","Enteromius guirali","Enteromius guirali","species",3626376,FALSE,NA
"254","Gila conspersa","Gila conspersa","Gila conspersa","species",945122,FALSE,NA
"255","Moxostoma congestum","Moxostoma congestum","Moxostoma congestum","species",205579,FALSE,NA
"256","Bathylacogricans","Bathylacogricans","Bathylaco nigricans",NA,329761,FALSE,NA
"257","Arapaima gigas","Arapaima gigas","Arapaima gigas","species",335725,FALSE,NA
"258","Heterotisloticus","Heterotisloticus","Heterotis niloticus",NA,916703,FALSE,NA
"259","Hiodon tergisus","Hiodon tergisus","Hiodon tergisus","species",329764,FALSE,NA
"260","Myomyrus macrops","Myomyrus macrops","Myomyrus macrops","species",288567,FALSE,NA
"261","Petrocephalus soudanensis","Petrocephalus soudanensis","Petrocephalus soudanensis","species",341698,FALSE,NA
"262","Paretroplus maculatus","Paretroplus maculatus","Paretroplus maculatus","species",67063,FALSE,NA
"263","Etroplus maculatus","Etroplus maculatus","Etroplus maculatus","species",493427,FALSE,NA
"264","Hypselecara temporalis","Hypselecara temporalis","Hypselecara temporalis","species",797221,FALSE,NA
"265","Ptychochromoides katria","Ptychochromoides katria","Ptychochromoides katria",NA,67054,FALSE,NA
"266","Tylochromis polylepis","Tylochromis polylepis","Tylochromis polylepis","species",803533,FALSE,NA
"267","Chelonodontops patoca","Chelonodontops patoca","Chelonodontops patoca","species",669607,FALSE,NA
"268","Petrocephalus microphthalmus","Petrocephalus microphthalmus","Petrocephalus microphthalmus","species",288570,FALSE,NA
"269","Cyphomyrus discorhynchus","Cyphomyrus discorhynchus","Cyphomyrus discorhynchus","species",349817,FALSE,NA
"270","Paramormyrops gabonensis","Paramormyrops gabonensis","Paramormyrops gabonensis","species",390984,FALSE,NA
"271","Amazonsprattus scintilla","Amazonsprattus scintilla","Amazonsprattus scintilla","species",758049,FALSE,NA
