"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"547","Pseudosiderastrea tayami","Pseudosiderastrea tayami","species",NA,152230,5784775,7507399,NA,"Pseudosiderastrea tayami","Pseudosiderastrea tayami","Pseudosiderastrea tayami Yabe & Sugiyama, 1935","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"548","Callinera kasyanovi","Callinera kasyanovi",NA,NA,NA,NA,5677263,NA,"Callinera kasyanovi",NA,NA,"Nemertea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"549","Thouarella viridis","Thouarella viridis","species",NA,514183,6473532,3678453,NA,"Thouarella viridis","Thouarella viridis","Thouarella viridis Zapata-Guardiola & Lopez-González, 2010","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"550","Fannyella spinosa","Fannyella spinosa","species",NA,514259,2262067,3678606,NA,"Fannyella spinosa","Fannyella spinosa","Fannyella spinosa (Thomson & Rennet, 1931)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"551","Thouarella antarctica","Thouarella antarctica","species",NA,700753,2261799,3678454,NA,"Thouarella antarctica","Thouarella antarctica","Thouarella antarctica (Valenciennes, 1846)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"552","Thouarellaabilis","Thouarellaabilis",NA,NA,NA,NA,5676096,NA,"Fannyella abies",NA,NA,"Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"553","Fannyella rossii","Fannyella rossii","species",NA,514232,2262070,3678585,NA,"Fannyella rossii","Fannyella rossii","Fannyella rossii Gray, 1872","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"554","Thouarella crenelata","Thouarella crenelata","species",NA,717467,2261802,3678427,NA,"Thouarella crenelata","Thouarella crenelata","Thouarella crenelata Kükenthal, 1907","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"555","Thouarella pendulina","Thouarella pendulina","species",NA,717469,2261786,3678430,NA,"Thouarella pendulina","Thouarella pendulina","Thouarella pendulina (Roule, 1908)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"556","Thouarella laxa","Thouarella laxa","species",NA,717468,2261785,3678426,NA,"Thouarella laxa","Thouarella laxa","Thouarella laxa Versluys, 1906","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"557","Fanellia korema","Fanellia korema","species",NA,514229,2261997,3678517,NA,"Fanellia korema","Fanellia korema","Fanellia korema Bayer & Stefani, 1989","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"558","Fanellia medialis","Fanellia medialis","species",NA,514116,2261993,3678583,NA,"Fanellia medialis","Fanellia medialis","Fanellia medialis Bayer & Stefani, 1989","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"559","Fanellia euthyeia","Fanellia euthyeia","species",NA,514136,2261998,3678618,NA,"Fanellia euthyeia","Fanellia euthyeia","Fanellia euthyeia Bayer & Stefani, 1989","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"560","Thouarella coronata","Thouarella coronata","species",NA,717466,8334249,3678640,NA,"Thouarella coronata","Thouarella coronata","Thouarella coronata Kinoshita, 1908","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"561","Bifidochaetus arcticus","Bifidochaetus arcticus","species",NA,938876,9005617,5973084,NA,"Bifidochaetus arcticus","Bifidochaetus arcticus","Bifidochaetus arcticus Kolicka & Kisielewski, 2016","Gastrotricha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"562","Annella ornata","Annella ornata","species",NA,717390,6473295,5676069,NA,"Annella ornata","Annella ornata","Annella ornata (Thomson & Simpson, 1909)","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"563","Diodogorgia ceratosa","Diodogorgia ceratosa","species",NA,717405,2262113,675795,NA,"Diodogorgia nodulifera","Diodogorgia ceratosa","Diodogorgia ceratosa Kükenthal, 1919","Cnidaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,""
"564","Sagitta elegans","Sagitta elegans","species",NA,714487,5193916,49627,NA,"Sagitta elegans","Sagitta elegans","Sagitta elegans Verrill, 1873","Chaetognatha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
