"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"96","Cristatella mucedo","Cristatella mucedo",NA,NA,NA,NA,320347,NA,"Cristatella mucedo",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"97","Lophopus crystallinus","Lophopus crystallinus",NA,NA,NA,NA,935704,NA,"Lophopus crystallinus",NA,NA,"Bryozoa",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"98","Macrotrachela quadricornifera","Macrotrachela quadricornifera",NA,NA,NA,NA,681209,NA,"Macrotrachela quadricornifera",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"99","Pleuretra lineata","Pleuretra lineata",NA,NA,NA,NA,790553,NA,"Pleuretra lineata",NA,NA,"Rotifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"100","Milnesium tardigradum","Milnesium tardigradum",NA,NA,NA,NA,13567,NA,"Milnesium tardigradum",NA,NA,"Tardigrada",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"101","Myopea callaeum","Myopea caleum",NA,NA,NA,NA,3663422,NA,"Myopea caleum",NA,NA,"Xenacoelomorpha",NA,NA,FALSE,"hidden",NA,NA,NA,NA,NA,NA,NA,NA
"102","Caulophacella tenuis","Caulophacella tenuis",NA,NA,NA,NA,103769,NA,"Caulophacella tenuis",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"103","Caulophacus weddelli","Caulophacus weddelli",NA,NA,NA,NA,612405,NA,"Caulophacus weddelli",NA,NA,"Porifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"104","Caulophacus valdiviae","Caulophacus valdiviae",NA,NA,NA,NA,103768,NA,"Caulophacus valdiviae",NA,NA,"Porifera",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"105","Semperella schulzei","Semperella schulzei",NA,NA,NA,NA,154403,NA,"Semperella schulzei",NA,NA,"Porifera",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"106","Favia leptophylla","Favia leptophylla",NA,NA,NA,NA,706976,NA,"Favia leptophylla",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"107","Echinopora pacificus","Echinopora pacificus",NA,NA,NA,NA,601947,NA,"Echinopora pacificus",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"108","Favia stelligera","Goniastrea stelligera",NA,NA,NA,NA,50365,NA,"Goniastrea stelligera",NA,NA,"Cnidaria",NA,NA,TRUE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"109","Favia pallida","Dipsastraea pallida",NA,NA,NA,NA,601934,NA,"Dipsastraea pallida",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"110","Meandrina braziliensis","Meandrina braziliensis",NA,NA,NA,NA,973244,NA,"Meandrina braziliensis",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"111","Stephanocoenia michelinii","Stephanocoenia michelinii",NA,NA,NA,NA,292624,NA,"Stephanocoenia michelinii",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"112","Forskalia edwardsi","Forskalia edwardsi",NA,NA,NA,NA,986301,NA,"Forskalia edwardsi",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"113","Scapophyllia cylindrica","Scapophyllia cylindrica",NA,NA,NA,NA,1065035,NA,"Scapophyllia cylindrica",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"114","Chrysaorah","Chrysaora",NA,NA,NA,NA,983584,NA,"Chrysaora",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"115","Favia maxima","Dipsastraea maxima",NA,NA,NA,NA,98786,NA,"Dipsastraea maxima",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"116","Chrysaora chesapeake","Chrysaora chesapeakei",NA,NA,NA,NA,7509042,NA,"Chrysaora chesapeakei",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"117","Anthopleura midori","Anthopleura anjunae",NA,NA,NA,NA,136455,NA,"Anthopleura anjunae",NA,NA,"Cnidaria",NA,NA,TRUE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"118","Dendronephthya putteri","Dendronephthya putteri",NA,NA,NA,NA,947312,NA,"Dendronephthya putteri",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"119","Eunicella cavolinii","Eunicella cavolini",NA,NA,NA,NA,115759,NA,"Eunicella cavolini",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"120","Chrysaorast","Chrysaora",NA,NA,NA,NA,983584,NA,"Chrysaora",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"121","Rhodactis mussoides","Platyzoanthus mussoides",NA,NA,NA,NA,145355,NA,"Platyzoanthus mussoides",NA,NA,"Cnidaria",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"122","Craspedacusta sowerbii","Craspedacusta sowerbii",NA,NA,NA,NA,127047,NA,"Craspedacusta sowerbii",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"123","Leptastrea pruinosa","Leptastrea pruinosa",NA,NA,NA,NA,878037,NA,"Leptastrea pruinosa",NA,NA,"Cnidaria",NA,NA,FALSE,"incertae_sedis_inherited",NA,NA,NA,NA,NA,NA,NA,NA
"124","Euphyllia divisa","Euphyllia divisa",NA,NA,NA,NA,878033,NA,"Euphyllia divisa",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"125","Euphyllia ancora","Euphyllia ancora",NA,NA,NA,NA,313607,NA,"Euphyllia ancora",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"126","Coscinaraea columna","Coscinaraea columna",NA,NA,NA,NA,555521,NA,"Coscinaraea columna",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"127","Halipteris","Halipteris",NA,NA,NA,NA,364267,NA,"Halipteris",NA,NA,"Cnidaria",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
