taxa_query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Lobatus galeatus,Strombidae,1039287,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Lobatus gallus,Strombidae,1039290,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Persististrombus granulatus,Strombidae,584398,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Persististrombus latus,Strombidae,462283,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Lobatus raninus,Strombidae,988788,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Lobatus peruvianus,Strombidae,462282,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Sinustrombus taurus,Strombidae,432204,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Sinustrombus sinuatus,Strombidae,2889677,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Canarium labiatum,Strombidae,462293,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
Labiostrombus epidromis,Strombidae,1039286,23123,Strombidae,"Rafinesque, 1815",accepted,NA,Family,23123,Strombidae,"Rafinesque, 1815",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,NA,exact
