query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Thouarella viridis,Primnoidae,3678453,125278,Primnoidae,"Milne Edwards, 1857",accepted,NA,Family,125278,Primnoidae,"Milne Edwards, 1857",411557,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,1,NA,NA,NA,exact
Thouarella pendulina,Primnoidae,3678430,125278,Primnoidae,"Milne Edwards, 1857",accepted,NA,Family,125278,Primnoidae,"Milne Edwards, 1857",411557,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,1,NA,NA,NA,exact
Primnoisis millerae,Isididae,5975189,125276,Isididae,"Lamouroux, 1812",accepted,NA,Family,125276,Isididae,"Lamouroux, 1812",125267,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,NA,0,0,NA,exact
Primnoisis erymna,Isididae,5975188,125276,Isididae,"Lamouroux, 1812",accepted,NA,Family,125276,Isididae,"Lamouroux, 1812",125267,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,NA,0,0,NA,exact
Primnoisis chatham,Isididae,5975187,125276,Isididae,"Lamouroux, 1812",accepted,NA,Family,125276,Isididae,"Lamouroux, 1812",125267,Animalia,Cnidaria,Anthozoa,Alcyonacea,NA,1,NA,0,0,NA,exact
Plagiorhynchus transversus,Plagiorhynchidae,5972645,20380,Plagiorhynchidae,"Golvan, 1960",accepted,NA,Family,20380,Plagiorhynchidae,"Golvan, 1960",20306,Animalia,Acanthocephala,Palaeacanthocephala,Polymorphida,NA,1,NA,1,1,NA,exact
Haliclona toxia,Chalinidae,2835034,131636,Chalinidae,"Gray, 1867",accepted,NA,Family,131636,Chalinidae,"Gray, 1867",131598,Animalia,Porifera,Demospongiae,Haplosclerida,NA,1,0,0,0,0,exact
Haliclona plakophila,Chalinidae,7509412,131636,Chalinidae,"Gray, 1867",accepted,NA,Family,131636,Chalinidae,"Gray, 1867",131598,Animalia,Porifera,Demospongiae,Haplosclerida,NA,1,0,0,0,0,exact
Haliclona fascigera,Chalinidae,103934,131636,Chalinidae,"Gray, 1867",accepted,NA,Family,131636,Chalinidae,"Gray, 1867",131598,Animalia,Porifera,Demospongiae,Haplosclerida,NA,1,0,0,0,0,exact
Neoechinorhynchus chimalapasensis,Neoechinorhynchidae,5681494,20347,Neoechinorhynchidae,"Ward, 1917",accepted,NA,Family,20347,Neoechinorhynchidae,"Ward, 1917",20345,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,NA,1,1,1,1,NA,exact
Neoechinorhynchus mexicoensis,Neoechinorhynchidae,5681493,20347,Neoechinorhynchidae,"Ward, 1917",accepted,NA,Family,20347,Neoechinorhynchidae,"Ward, 1917",20345,Animalia,Acanthocephala,Eoacanthocephala,Neoechinorhynchida,NA,1,1,1,1,NA,exact
