query,family,ottid_species,aphia_id,scientificname,authority,status,unacceptreason,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,genus,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,match_type
Fluminicola (genus in Holozoa,Lithoglyphidae,NULL,715961,Lithoglyphidae,"Tryon, 1866",accepted,NA,Family,715961,Lithoglyphidae,"Tryon, 1866",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,NA,1,1,NA,NA,exact
Elimata,Limidae,NULL,1778,Limidae,"Rafinesque, 1815",accepted,NA,Family,1778,Limidae,"Rafinesque, 1815",246153,Animalia,Mollusca,Bivalvia,Limida,NA,1,NA,NA,NA,NA,exact
Luria controversa,Cypraeidae,771327,23022,Cypraeidae,"Rafinesque, 1815",accepted,NA,Family,23022,Cypraeidae,"Rafinesque, 1815",14774,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Luria talpa,Cypraeidae,771332,23022,Cypraeidae,"Rafinesque, 1815",accepted,NA,Family,23022,Cypraeidae,"Rafinesque, 1815",14774,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Zoila vercoi,Cypraeidae,613287,23022,Cypraeidae,"Rafinesque, 1815",accepted,NA,Family,23022,Cypraeidae,"Rafinesque, 1815",14774,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Notocypraea comptoni,Cypraeidae,982680,23022,Cypraeidae,"Rafinesque, 1815",accepted,NA,Family,23022,Cypraeidae,"Rafinesque, 1815",14774,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Notocypraea vercornis,Cypraeidae,268751,23022,Cypraeidae,"Rafinesque, 1815",accepted,NA,Family,23022,Cypraeidae,"Rafinesque, 1815",14774,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,NA,NA,NA,0,exact
Placamen berryi,Veneridae,216376,243,Veneridae,"Rafinesque, 1815",accepted,NA,Family,243,Veneridae,"Rafinesque, 1815",14638,Animalia,Mollusca,Bivalvia,Venerida,NA,1,1,NA,NA,NA,exact
Ventricoloidea foveolata,Veneridae,165575,243,Veneridae,"Rafinesque, 1815",accepted,NA,Family,243,Veneridae,"Rafinesque, 1815",14638,Animalia,Mollusca,Bivalvia,Venerida,NA,1,1,NA,NA,NA,exact
Thuridilla vatae,Plakobranchidae,587527,411960,Plakobranchidae,"Gray, 1840",accepted,NA,Family,411960,Plakobranchidae,"Gray, 1840",411959,Animalia,Mollusca,Gastropoda,NA,NA,1,NA,NA,NA,NA,exact
Assiminea taiwanensis,Assimineidae,447987,121,Assimineidae,"H. Adams & A. Adams, 1856",accepted,NA,Family,121,Assimineidae,"H. Adams & A. Adams, 1856",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,1,NA,exact
Xenophora indica,Xenophoridae,291957,23144,Xenophoridae,"Troschel, 1852 (1840)",accepted,NA,Family,23144,Xenophoridae,"Troschel, 1852 (1840)",14770,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,0,0,0,NA,exact
Conuber melanostoma,Naticidae,990482,145,Naticidae,"Guilding, 1834",accepted,NA,Family,145,Naticidae,"Guilding, 1834",14776,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,NA,NA,NA,exact
Mexacteon,Acteonidae,NULL,155,Acteonidae,"d'Orbigny, 1842",accepted,NA,Family,155,Acteonidae,"d'Orbigny, 1842",382223,Animalia,Mollusca,Gastropoda,NA,NA,1,NA,0,0,0,exact
Melanoides imitatrix,Thiaridae,787312,196287,Thiaridae,"Gill, 1871 (1823)",accepted,NA,Family,196287,Thiaridae,"Gill, 1871 (1823)",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,0,1,1,0,NA,exact
Pseudamnicola negropontina,Hydrobiidae,414445,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Anagastina zaetavalis,Hydrobiidae,430976,120,Hydrobiidae,"Stimpson, 1865",accepted,NA,Family,120,Hydrobiidae,"Stimpson, 1865",722756,Animalia,Mollusca,Gastropoda,Littorinimorpha,NA,1,1,1,NA,NA,exact
Juga draytoni,Semisulcospiridae,683375,715954,Semisulcospiridae,"J. P. E. Morrison, 1952",accepted,NA,Family,715954,Semisulcospiridae,"J. P. E. Morrison, 1952",14769,Animalia,Mollusca,Gastropoda,[unassigned] Caenogastropoda,NA,1,NA,1,0,0,exact
Nannodiella ravella,Clathurellidae,463318,153873,Clathurellidae,"H. Adams & A. Adams, 1858",accepted,NA,Family,153873,Clathurellidae,"H. Adams & A. Adams, 1858",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,NA,NA,NA,exact
Kermia aureotincta,Raphitomidae,938457,153879,Raphitomidae,"Bellardi, 1875",accepted,NA,Family,153879,Raphitomidae,"Bellardi, 1875",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,1,NA,NA,exact
Raphitoma rubroapicata,Raphitomidae,463339,153879,Raphitomidae,"Bellardi, 1875",accepted,NA,Family,153879,Raphitomidae,"Bellardi, 1875",15140,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,NA,1,NA,NA,exact
Mancinella intermedia,Muricidae,131184,148,Muricidae,"Rafinesque, 1815",accepted,NA,Family,148,Muricidae,"Rafinesque, 1815",15138,Animalia,Mollusca,Gastropoda,Neogastropoda,NA,1,1,NA,NA,NA,exact
