taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,bold_taxon,gbif_sciname,subclass,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,aphia_id
Bursaphelenchus tusciae,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus tusciae,species,NA,27552,5889676,401520,NA,Bursaphelenchus tusciae,Bursaphelenchus tusciae,"Bursaphelenchus tusciae Ambrogioni & Palmisano, 1998",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Deladenus siricidicola,Nematoda,NA,NA,NA,NA,1,Deladenus,Deladenus siricidicola,species,NA,106051,2284005,784570,NA,Deladenus siricidicola,Deladenus siricidicola,"Deladenus siricidicola Bedding, 1968",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Deladenus,accepted,582905
Haematoloechus floedae,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus floedae,species,NA,13230,NA,1047366,NA,Haematoloechus floedae,Haematoloechus floedae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechus medioplexus,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechus medioplexus,species,NA,171023,4414976,510338,NA,Haematoloechus medioplexus,Haematoloechus medioplexus,"Haematoloechus medioplexus Stafford, 1902",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Haematoloechusoplexus,Platyhelminthes,NA,NA,NA,1,1,Haematoloechus,Haematoloechusoplexus,NA,NA,NA,NA,510335,NA,Haematoloechus complexus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1384177
Bursaphelenchus kevini,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus kevini,species,NA,81364,7021879,324853,NA,Bursaphelenchus kevini,Bursaphelenchus kevini,Bursaphelenchus kevini,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Bursaphelenchus debrae,Nematoda,NA,NA,NA,0,1,Bursaphelenchus,Bursaphelenchus debrae,species,NA,198756,10527444,136873,NA,Bursaphelenchus debrae,Bursaphelenchus debrae,Bursaphelenchus debrae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1544445
Trichinella papuae,Nematoda,NA,NA,NA,1,1,Trichinella,Trichinella papuae,species,NA,167096,7020353,299880,NA,Trichinella papuae,Trichinella papuae,Trichinella papuae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1584400
Trichinella zimbabwensis,Nematoda,NA,NA,NA,1,1,Trichinella,Trichinella zimbabwensis,species,NA,167095,7020348,584335,NA,Trichinella zimbabwensis,Trichinella zimbabwensis,Trichinella zimbabwensis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1584400
Schistonchus caprifici,Nematoda,NA,NA,NA,NA,1,Schistonchus,Schistonchus caprifici,species,NA,198807,4559474,187753,NA,Schistonchus caprifici,Schistonchus caprifici,"Schistonchus caprifici (Gasparrini, 1864)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1584950
