taxa_query,phylum,class,order,family,freshwater_only,terrestrial_only,genus_split,taxa,tol_sciname,rank,ott_id,is_synonym,flags,valid_name,status,aphia_id
Hadrobunus,Arthropoda,Arachnida,Opiliones,Leiobunidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eumesosoma ocalense,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eumesosoma roeweri,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leuronychus pacificus,Arthropoda,Arachnida,Opiliones,Sclerosomatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischyropsalis carli,Arthropoda,Arachnida,Opiliones,Ischyropsalididae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ischyropsalis hellwigii,Arthropoda,Arachnida,Opiliones,Ischyropsalididae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hesperonemastoma kepharti,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon astoriensis,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon briggsi,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon imamurai,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon mitchelli,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon occidentalis,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon pasonianus,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon paradoxus,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon siskiyou,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sabacon viscayanus,Arthropoda,Arachnida,Opiliones,Sabaconidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella leonardi,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella makah,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acuclavella sheari,Arthropoda,Arachnida,Opiliones,Ceratolasmatidae,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
