taxa_query,taxa,rank,worms_aphiaid,bold_id,gbif_key,ott_id,worms_sciname,tol_sciname,genus_split,bold_taxon,gbif_sciname,phylum,class,subclass,order,family,genus,species,wormsid_phylum,wormsid_class,wormsid_subclass,wormsid_order,wormsid_family,wormsid_genus,wormsid_species,authority,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Bursaphelenchus hellenicus,Bursaphelenchus hellenicus,species,NA,27563,5777792,977621,NA,Bursaphelenchus hellenicus,Bursaphelenchus,Bursaphelenchus hellenicus,"Bursaphelenchus hellenicus Skarmoutsos, Braasch & Michalopoulou, 1998",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus hofmanni,Bursaphelenchus hofmanni,species,NA,27562,5889682,977620,NA,Bursaphelenchus hofmanni,Bursaphelenchus,Bursaphelenchus hofmanni,"Bursaphelenchus hofmanni Braasch, 1998",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus hylobianum,Bursaphelenchus hylobianum,species,NA,27561,7021914,1052616,NA,Bursaphelenchus hylobianum,Bursaphelenchus,Bursaphelenchus hylobianum,Bursaphelenchus hylobianum,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus gerberae,Bursaphelenchus gerberae,NA,NA,NA,NA,977630,NA,Bursaphelenchus gerberae,Bursaphelenchus,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus anatolius,Bursaphelenchus anatolius,NA,NA,NA,NA,1067131,NA,Bursaphelenchus anatolius,Bursaphelenchus,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus platzeri,Bursaphelenchus platzeri,NA,NA,NA,NA,379587,NA,Bursaphelenchus platzeri,Bursaphelenchus,NA,NA,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus paracorneolus,Bursaphelenchus paracorneolus,species,NA,27556,5889648,401516,NA,Bursaphelenchus paracorneolus,Bursaphelenchus,Bursaphelenchus paracorneolus,"Bursaphelenchus paracorneolus Braasch, 2000",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus poligraphi,Bursaphelenchus poligraphi,species,NA,27555,7021894,401517,NA,Bursaphelenchus poligraphi,Bursaphelenchus,Bursaphelenchus poligraphi,"Bursaphelenchus poligraphi Fuchs, 1937",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus seani,Bursaphelenchus seani,species,NA,27554,7021900,401518,NA,Bursaphelenchus seani,Bursaphelenchus,Bursaphelenchus seani,Bursaphelenchus seani,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus sexdentati,Bursaphelenchus sexdentati,species,NA,27553,5777797,401519,NA,Bursaphelenchus sexdentati,Bursaphelenchus,Bursaphelenchus sexdentati,"Bursaphelenchus sexdentati Rühm, 1960",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus tusciae,Bursaphelenchus tusciae,species,NA,27552,5889676,401520,NA,Bursaphelenchus tusciae,Bursaphelenchus,Bursaphelenchus tusciae,"Bursaphelenchus tusciae Ambrogioni & Palmisano, 1998",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Deladenus siricidicola,Deladenus siricidicola,species,NA,106051,2284005,784570,NA,Deladenus siricidicola,Deladenus,Deladenus siricidicola,"Deladenus siricidicola Bedding, 1968",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Deladenus,accepted,1,NA,582905
Haematoloechus floedae,Haematoloechus floedae,species,NA,13230,NA,1047366,NA,Haematoloechus floedae,Haematoloechus,Haematoloechus floedae,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechus medioplexus,Haematoloechus medioplexus,species,NA,171023,4414976,510338,NA,Haematoloechus medioplexus,Haematoloechus,Haematoloechus medioplexus,"Haematoloechus medioplexus Stafford, 1902",Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Haematoloechusoplexus,Haematoloechusoplexus,NA,NA,NA,NA,510335,NA,Haematoloechus complexus,Haematoloechus,NA,NA,Platyhelminthes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Haematoloechus,accepted,1,1,1384177
Bursaphelenchus kevini,Bursaphelenchus kevini,species,NA,81364,7021879,324853,NA,Bursaphelenchus kevini,Bursaphelenchus,Bursaphelenchus kevini,Bursaphelenchus kevini,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Bursaphelenchus debrae,Bursaphelenchus debrae,species,NA,198756,10527444,136873,NA,Bursaphelenchus debrae,Bursaphelenchus,Bursaphelenchus debrae,Bursaphelenchus debrae,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Bursaphelenchus,accepted,1,0,1544445
Trichinella papuae,Trichinella papuae,species,NA,167096,7020353,299880,NA,Trichinella papuae,Trichinella,Trichinella papuae,Trichinella papuae,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1,1,1584400
Trichinella zimbabwensis,Trichinella zimbabwensis,species,NA,167095,7020348,584335,NA,Trichinella zimbabwensis,Trichinella,Trichinella zimbabwensis,Trichinella zimbabwensis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,Trichinella,accepted,1,1,1584400
Schistonchus caprifici,Schistonchus caprifici,species,NA,198807,4559474,187753,NA,Schistonchus caprifici,Schistonchus,Schistonchus caprifici,"Schistonchus caprifici (Gasparrini, 1864)",Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1584950
Schistonchus guangzhouensis,Schistonchus guangzhouensis,species,NA,198806,10761961,628799,NA,Schistonchus guangzhouensis,Schistonchus,Schistonchus guangzhouensis,Schistonchus guangzhouensis,Nematoda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,accepted,1,NA,1584950
