taxa_query,taxa,tol_sciname,genus_split,rank,ott_id,is_synonym,flags,valid_name,status,terrestrial_only,freshwater_only,aphia_id
Loxosceles vonwredei,Loxosceles vonwredei,Loxosceles vonwredei,Loxosceles,species,461653,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles spinulosa,Loxosceles spinulosa,Loxosceles spinulosa,Loxosceles,species,1068112,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles speluncarum,Loxosceles speluncarum,Loxosceles speluncarum,Loxosceles,species,917979,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Limnadia lenticularis,Limnadia lenticularis,Limnadia lenticularis,Limnadia,species,401740,FALSE,NA,Limnadia,accepted,0,1,1459821
Eulimnadia cylindrova,Eulimnadia cylindrova,Eulimnadia cylindrova,Eulimnadia,species,427149,FALSE,NA,Eulimnadia,accepted,0,1,1459816
Eulimnadia dahli,Eulimnadia dahli,Eulimnadia dahli,Eulimnadia,NA,630870,FALSE,NA,Eulimnadia,accepted,0,1,1459816
Limnadopsis parvispinus,Limnadopsis parvispinus,Limnadopsis parvispinus,Limnadopsis,species,952924,FALSE,NA,Limnadopsis,accepted,0,1,1459824
Limnadia sordida,Limnadia sordida,Limnadia sordida,Limnadia,species,802312,FALSE,NA,Limnadia,accepted,0,1,1459821
Limnadia badia,Limnadia badia,Limnadia badia,Limnadia,species,746551,FALSE,NA,Limnadia,accepted,0,1,1459821
Limnadopsis tatei,Limnadopsis tatei,Limnadopsis tatei,Limnadopsis,species,222972,FALSE,NA,Limnadopsis,accepted,0,1,1459824
Limnadiapponica,Limnadiapponica,Limnadia nipponica,Limnadia,NA,230072,FALSE,NA,Limnadia,accepted,0,1,1459821
Eulimnadia africana,Eulimnadia africana,Eulimnadia africana,Eulimnadia,species,630871,FALSE,NA,Eulimnadia,accepted,0,1,1459816
Eulimnadia diversa,Eulimnadia diversa,Eulimnadia diversa,Eulimnadia,NA,952926,FALSE,NA,Eulimnadia,accepted,0,1,1459816
Cyzicus gynecia,Cyzicus gynecia,Cyzicus gynecia,Cyzicus,species,952922,FALSE,NA,Cyzicus,accepted,NA,1,593225
Limnadopsis birchii,Limnadopsis birchii,Limnadopsis birchii,Limnadopsis,species,964999,FALSE,NA,Limnadopsis,accepted,0,1,1459824
Limnadopsis paradoxa,Limnadopsis paradoxa,Limnadopsis paradoxa,Limnadopsis,species,1021583,FALSE,NA,Limnadopsis,accepted,0,1,1459824
Loxosceles gaucho,Loxosceles gaucho,Loxosceles gaucho,Loxosceles,species,653133,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Loxosceles mrazig,Loxosceles mrazig,Loxosceles mrazig,Loxosceles,species,47316,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Dermanyssus apodis,Dermanyssus apodis,Dermanyssus apodis,Dermanyssus,species,463955,FALSE,NA,Dermanyssus,accepted,1,NA,1513098
Loxosceles foutadjalloni,Loxosceles foutadjalloni,Loxosceles foutadjalloni,Loxosceles,species,166785,FALSE,NA,Loxosceles,accepted,1,NA,1491329
Nesticus silvestrii,Nesticus silvestrii,Nesticus silvestrii,Nesticus,species,623348,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus archeri,Nesticus archeri,Nesticus archeri,Nesticus,species,50532,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus pecki,Nesticus pecki,Nesticus pecki,Nesticus,species,253354,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus georgia,Nesticus georgia,Nesticus georgia,Nesticus,species,623339,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus furtivus,Nesticus furtivus,Nesticus furtivus,Nesticus,species,50535,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus stygius,Nesticus stygius,Nesticus stygius,Nesticus,species,996646,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus jonesi,Nesticus jonesi,Nesticus jonesi,Nesticus,species,623341,FALSE,NA,Nesticus,accepted,1,NA,231925
Nesticus barri,Nesticus barri,Nesticus barri,Nesticus,species,50533,FALSE,NA,Nesticus,accepted,1,NA,231925
Heteropoda maxima,Heteropoda maxima,Heteropoda maxima,Heteropoda,species,395339,FALSE,sibling_higher,Heteropoda,accepted,1,NA,1491356
Heteropoda tetrica,Heteropoda tetrica,Heteropoda tetrica,Heteropoda,species,395345,FALSE,sibling_higher,Heteropoda,accepted,1,NA,1491356
Heteropoda dagmarae,Heteropoda dagmarae,Heteropoda dagmarae,Heteropoda,species,395337,FALSE,sibling_higher,Heteropoda,accepted,1,NA,1491356
Heteropoda aemulans,Heteropoda aemulans,Heteropoda aemulans,Heteropoda,species,395335,FALSE,sibling_higher,Heteropoda,accepted,1,NA,1491356
Heteropoda simplex,Heteropoda simplex,Heteropoda simplex,Heteropoda,species,395341,FALSE,sibling_higher,Heteropoda,accepted,1,NA,1491356
Heteropoda steineri,Heteropoda steineri,Heteropoda steineri,Heteropoda,species,395343,FALSE,sibling_higher,Heteropoda,accepted,1,NA,1491356
Sperchon violaceus,Sperchon violaceus,Sperchon violaceus,Sperchon,species,1088721,FALSE,NA,Sperchon,accepted,NA,1,593105
Unionicola hoesei,Unionicola hoesei,Unionicola hoesei,Unionicola,species,75815,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola vamana,Unionicola vamana,Unionicola vamana,Unionicola,species,597069,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola vikitra,Unionicola vikitra,Unionicola vikitra,Unionicola,species,597067,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola kavanaghi,Unionicola kavanaghi,Unionicola kavanaghi,Unionicola,species,75817,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola amandita,Unionicola amandita,Unionicola amandita,Unionicola,species,876012,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola gailae,Unionicola gailae,Unionicola gailae,Unionicola,species,75811,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola tupara,Unionicola tupara,Unionicola tupara,Unionicola,species,75819,FALSE,NA,Unionicola,accepted,NA,1,158469
Unionicola fulleri,Unionicola fulleri,Unionicola fulleri,Unionicola,species,75813,FALSE,NA,Unionicola,accepted,NA,1,158469
Balaustium medicagoense,Balaustium medicagoense,Balaustium medicagoense,Balaustium,species,54189,FALSE,NA,Balaustium,accepted,1,1,150453
Eubranchipus bundyi,Eubranchipus bundyi,Eubranchipus bundyi,Eubranchipus,species,959820,FALSE,NA,Eubranchipus,accepted,NA,1,1325174
Nephila constricta,Nephila constricta,Nephila constricta,Nephila,species,952193,FALSE,NA,Nephila,accepted,1,NA,1491362
Nephila edulis,Nephila edulis,Nephila edulis,Nephila,NA,952212,FALSE,NA,Nephila,accepted,1,NA,1491362
Nephila fenestrata,Nephila fenestrata,Nephila fenestrata,Nephila,NA,952214,FALSE,NA,Nephila,accepted,1,NA,1491362
Nephila inaurata,Nephila inaurata,Nephila inaurata,Nephila,NA,189516,FALSE,NA,Nephila,accepted,1,NA,1491362
Nephila plumipes,Nephila plumipes,Nephila plumipes,Nephila,NA,894465,FALSE,NA,Nephila,accepted,1,NA,1491362
Nephila senegalensis,Nephila senegalensis,Nephila senegalensis,Nephila,NA,499088,FALSE,NA,Nephila,accepted,1,NA,1491362
