subject_accession,subject_taxonomy_id,kingdom,phylum,class,order,family,genus,species,sp_num
KC009910,1247653,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Thioalkalispiraceae,unknown genus,Thioalkalispiraceae,1
CP026124,1758194,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter,1
OM267670,933926,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Sinobacterium,Sinobacterium caligoides,1
HG004171,1641715,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Sinobacterium,Sinobacterium norvegicum,1
CP019343,716816,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus,Oceanicoccus sagamiensis,1
JX526467,863881,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,unknown genus,BD clade,1
MH731319,354246,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter marinus,1
KU647870,1805562,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Sinobacterium,Sinobacterium,1
KY416514,1931236,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Dasania,Dasania,1
CP090569,393765,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Candidatus Endoriftia,Candidatus Endoriftia persephone,1
EF675613,469795,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,sulfuroxidizing symbiont,1
EU143369,472168,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Cellvibrio,Cellvibrio,1
LT935677,172371,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alloalcanivorax,Alloalcanivorax venustensis,1
LT935674,454602,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter tropicus,1
LT629157,1904639,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Oceanicoccus,Oceanicoccus,1
ON028277,1983305,Bacteria,Pseudomonadota,Gammaproteobacteria,Chromatiales,Woeseiaceae,unknown genus,Woeseiaceae,1
HM804342,877071,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Saccharophagus,Saccharophagus S',1
M99451,2365,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Riftia pachyptila trophosome symbiont,1
MT449026,287488,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Eionea,Eionea nigra,1
MK250494,471499,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Dasania,Dasania marina,1
NR_148757,1076588,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,Thiolapillus,Thiolapillus brandeum,1
LC000744,1545899,Eukaryota,Mollusca,Bivalvia,Lucinida,Lucinidae,Lucina,Lucina,1
NR_179344,2760804,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Spongiibacter,Spongiibacter pelagi,1
AY711041,181674,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,unknown genus,Methylococcaceae,1
X84980,45460,Bacteria,Pseudomonadota,Gammaproteobacteria,unknown order,unknown family,unknown genus,Lucina pectinata gill symbiont,1
MT613340,2004510,Bacteria,Pseudomonadota,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudomaricurvus,Pseudomaricurvus,1
MK587649,1872502,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea,1
MH929609,452629,Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Amphritea,Amphritea balenae,1
MG802748,239213,Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,Methylocaldum,1
NR_112217,241430,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Gomontiellaceae,Starria,Starria zimbabweensis,1
MK814633,131094,Eukaryota,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Cryptopleura,Cryptopleura ramosa,1
MK211234,2490539,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium magnum,1
MH688842,2290988,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Gomontiellaceae,Hormoscilla,Hormoscilla cf pringsheimii Uss,1
KC196264,1288314,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorena,Moorena producens,1
CP003620,1173022,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Gomontiellaceae,Crinalium,Crinalium epipsammum,1
EU022730,457939,Bacteria,Cyanobacteriota,Cyanophyceae,Nostocales,Calotrichaceae,Calothrix,Calothrix,1
MN960022,1658791,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorena,Moorena,1
LC535003,2720152,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorena,Moorenak,1
MK299237,2496922,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Oscillatoriaceae,Moorena,Moorena bouillonii,1
MH463401,2527862,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Oculatellaceae,Oculatella,Oculatella cataractarum,1
MK211229,2489138,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella edaphica,1
MH688850,2290982,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella dunensis,1
LT634150,1920418,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella karstica,1
LT634149,1920417,Bacteria,Cyanobacteriota,Cyanophyceae,Pseudanabaenales,Oculatellaceae,Timaviella,Timaviella circinata,1
KY550452,1940714,Bacteria,Cyanobacteriota,Cyanophyceae,Oscillatoriales,Coleofasciculaceae,Geitlerinema,Geitlerinema sulphureum,1
KY083065,202687,Eukaryota,Rhodophyta,Florideophyceae,Thoreales,Thoreaceae,Thorea,Thorea hispida,1
KX284714,202687,Eukaryota,Rhodophyta,Florideophyceae,Thoreales,Thoreaceae,Thorea,Thorea hispida,2
NC_031171,202687,Eukaryota,Rhodophyta,Florideophyceae,Thoreales,Thoreaceae,Thorea,Thorea hispida,3
