taxa_query,ott_id,genus,worms_genus,terrestrial_only,freshwater_only
Nesticus silvestrii,623348,Nesticus,231925,1,NA
Nesticus archeri,50532,Nesticus,231925,1,NA
Nesticus pecki,253354,Nesticus,231925,1,NA
Nesticus georgia,623339,Nesticus,231925,1,NA
Nesticus furtivus,50535,Nesticus,231925,1,NA
Nesticus stygius,996646,Nesticus,231925,1,NA
Nesticus jonesi,623341,Nesticus,231925,1,NA
Nesticus barri,50533,Nesticus,231925,1,NA
Heteropoda maxima,395339,Heteropoda,1491356,1,NA
Heteropoda tetrica,395345,Heteropoda,1491356,1,NA
Heteropoda dagmarae,395337,Heteropoda,1491356,1,NA
Heteropoda aemulans,395335,Heteropoda,1491356,1,NA
Heteropoda simplex,395341,Heteropoda,1491356,1,NA
Heteropoda steineri,395343,Heteropoda,1491356,1,NA
Sperchon violaceus,1088721,Sperchon,593105,NA,1
Unionicola hoesei,75815,Unionicola,158469,NA,1
Unionicola vamana,597069,Unionicola,158469,NA,1
Unionicola vikitra,597067,Unionicola,158469,NA,1
Unionicola kavanaghi,75817,Unionicola,158469,NA,1
Unionicola amandita,876012,Unionicola,158469,NA,1
Unionicola gailae,75811,Unionicola,158469,NA,1
Unionicola tupara,75819,Unionicola,158469,NA,1
Unionicola fulleri,75813,Unionicola,158469,NA,1
Balaustium medicagoense,54189,Balaustium,150453,1,1
Eubranchipus bundyi,959820,Eubranchipus,1325174,NA,1
Nephila constricta,952193,Nephila,1491362,1,NA
Nephila edulis,952212,Nephila,1491362,1,NA
Nephila fenestrata,952214,Nephila,1491362,1,NA
Nephila inaurata,189516,Nephila,1491362,1,NA
Nephila plumipes,894465,Nephila,1491362,1,NA
Nephila senegalensis,499088,Nephila,1491362,1,NA
Vejdovskybathynella edelweiss,843465,Vejdovskybathynella,1039203,0,1
Iberobathynella imuniensis,105734,Iberobathynella,1039268,0,1
Iberobathynella cantabriensis,105718,Iberobathynella,1039268,0,1
Iberobathynella magna,1021342,Iberobathynella,1039268,0,1
Iberobathynella burgalensis,105716,Iberobathynella,1039268,0,1
Iberobathynella celiana,105732,Iberobathynella,1039268,0,1
Hexabathynella sevillaensis,627094,Hexabathynella,1039132,0,1
Limnadopsis parvispinusaroo,952924,Limnadopsis,1459824,0,1
Nephila turneri,611616,Nephila,1491362,1,NA
Unionicola minor,3532696,Unionicola,158469,NA,1
Nesticus coreanus,975612,Nesticus,231925,1,NA
Nesticus kyongkeomsanensis,205455,Nesticus,231925,1,NA
Brevisomabathynella uramurdahensis,1046345,Brevisomabathynella,1039150,0,1
Brevisomabathynella cunyuensis,469738,Brevisomabathynella,1039150,0,1
Limnadopsis bloodwoodensis,989258,Limnadopsis,1459824,0,1
Limnadopsis brevirostris,989256,Limnadopsis,1459824,0,1
Rhipicephalus haemaphysaloides,911537,Rhipicephalus,1505438,1,NA
Rhipicephalus rossicus,145895,Rhipicephalus,1505438,1,NA
Amphisopus annectans,213426,Amphisopus,248407,0,1
Vejdovskybathynella vasconica,5755381,Vejdovskybathynella,1039203,0,1
Vejdovskybathynella caroloi,5755383,Vejdovskybathynella,1039203,0,1
Iberobathynella parasturiensis,4675427,Iberobathynella,1039268,0,1
Rhipicephalus australis,250979,Rhipicephalus,1505438,1,NA
Rhipicephalus kohlsi,389191,Rhipicephalus,1505438,1,NA
Eulimnadia belki,5231579,Eulimnadia,1459816,0,1
Rhipicephalus bursa,470255,Rhipicephalus,1505438,1,NA
Rhipicephalus leporis,467642,Rhipicephalus,1505438,1,NA
Iberobathynella cornejoensis,7122482,Iberobathynella,1039268,0,1
Scytodes lugubris,3541779,Scytodes,1491351,1,NA
Rhipicephalus sulcatus,150387,Rhipicephalus,1505438,1,NA
Nephila sexpunctata,3572012,Nephila,1491362,1,NA
Scytodes thoracica,946500,Scytodes,1491351,1,NA
Heteropodabilis,3550971,Heteropoda,1491356,1,NA
Nesticus holsingeri,673637,Nesticus,231925,1,NA
Triops sinensis,7114074,Triops,724676,NA,1
Sperchon fuxiensis,7095361,Sperchon,593105,NA,1
Sperchon plumifer,3533092,Sperchon,593105,NA,1
Sperchon rostratus,6166092,Sperchon,593105,NA,1
Rhipicephalus duttoni,3525365,Rhipicephalus,1505438,1,NA
Rhipicephalus senegalensis,3525393,Rhipicephalus,1505438,1,NA
Loxosceles persica,7108343,Loxosceles,1491329,1,NA
Loxosceles taino,3540610,Loxosceles,1491329,1,NA
Loxosceles cubana,3540616,Loxosceles,1491329,1,NA
Loxosceles jamaica,3540658,Loxosceles,1491329,1,NA
Loxosceles jarmila,3540632,Loxosceles,1491329,1,NA
Sperchon glandulosus,3533107,Sperchon,593105,NA,1
Aphyosemion festivum,744421,Aphyosemion,268343,0,1
Danio choprai,620178,Danio,268949,0,1
Leporinus silvestrii,506596,Leporinus,269644,0,1
Pareiorhaphis calmoni,108989,Pareiorhaphis,270284,0,1
Bryconamericus lethostigmus,573826,Bryconamericus,268610,0,1
Synodontis membranacea,975705,Synodontis,271023,0,1
Synodontisgromaculata,577014,Synodontis,271023,0,1
Schizothorax lissolabiata,709850,Schizothorax,270830,0,1
Paretroplus damiiambirano,470634,Paretroplus,270288,0,1
Labiobarbus spilopleura,372814,Labiobarbus,269587,0,1
Pollimyrus osborni,5543982,Pollimyrus,270472,0,1
Bryconamericus maromba,7065153,Bryconamericus,268610,0,1
Bryconamericus orinocoense,3625208,Bryconamericus,268610,0,1
Knodus alpha,7065289,Knodus,269563,0,1
Trichomycterus guacamayoensis,7065894,Trichomycterus,271141,0,1
Satsuma peculiaris,459422,Satsuma,818543,1,0
Satsuma oshimae,459429,Satsuma,818543,1,0
Camaena sakishimana,732291,Camaena,835673,1,0
Satsuma carinatus,852440,Satsuma,818543,1,0
Aegista goniosoma,5264576,Aegista,874976,1,0
Aegista mikuriyensis,5264603,Aegista,874976,1,0
Aegista pseudopatula,5264599,Aegista,874976,1,0
Aegista tokunoshimana,5264572,Aegista,874976,1,0
Aegista cavicollis,5264580,Aegista,874976,1,0
Aegista kandai,5264585,Aegista,874976,1,0
Aegista trochula,5264584,Aegista,874976,1,0
Aegista aemula,5264594,Aegista,874976,1,0
Aegista deflexa,5264593,Aegista,874976,1,0
Aegista elegantissima,386518,Aegista,874976,1,0
Aegista horrida,5264579,Aegista,874976,1,0
Aegista inexpectata,760988,Aegista,874976,1,0
Aegista kiusiuensis,5264587,Aegista,874976,1,0
Aegista tokunovaga,5264582,Aegista,874976,1,0
Aegista lepidophora,5264602,Aegista,874976,1,0
Aegista marginata,5264601,Aegista,874976,1,0
Aegista oshimana,5264597,Aegista,874976,1,0
Aegista pannosa,5264575,Aegista,874976,1,0
Aegista scepasma,760990,Aegista,874976,1,0
Aegista vulgivaga,752073,Aegista,874976,1,0
Trishoplita calcicola,5264540,Trishoplita,995801,1,0
Trishoplitaoyaka,5264562,Trishoplita,995801,1,0
Trishoplita goodwini,5264564,Trishoplita,995801,1,0
Trishoplita izuensis,5264555,Trishoplita,995801,1,0
Chilostoma trizona,406735,Chilostoma,871085,1,0
Chilostoma subaii,406732,Chilostoma,871085,1,0
Chilostoma fontenillii,910461,Chilostoma,871085,1,0
Philonesia harmanni,748552,Philonesia,996307,1,0
Tylomelania perconica,1077050,Tylomelania,738540,0,1
Tylomelania solitaria,543143,Tylomelania,738540,0,1
Tylomelania mahalonica,543144,Tylomelania,738540,0,1
Albinaria puella,361946,Albinaria,996062,1,0
Pyrgulopsis idahoensis,830523,Pyrgulopsis,717226,0,1
Bridouxia tanganyicensis,189530,Bridouxia,1057374,0,1
Leptaxis minor,404762,Leptaxis,996520,1,0
Leptaxis terceirana,879842,Leptaxis,996520,1,0
Leptaxis caldeirarum,879839,Leptaxis,996520,1,0
Amborhytida pycrofti,784098,Amborhytida,820913,1,0
Amborhytida tarangaensis,784099,Amborhytida,820913,1,0
Bulimulus quitensis,339269,Bulimulus,861633,1,0
Bulimulus unifasciatus,421460,Bulimulus,861633,1,0
Bulimulussioticus,421446,Bulimulus,861633,1,0
Bulimulus sculpturatus,421445,Bulimulus,861633,1,0
Bulimulus darwini,1026135,Bulimulus,861633,1,0
Bulimulus wolfi,903719,Bulimulus,861633,1,0
Bulimulus akamatus,903718,Bulimulus,861633,1,0
Bulimulus snodgrassi,903727,Bulimulus,861633,1,0
Bulimulus cavagnaroi,903726,Bulimulus,861633,1,0
Bulimulus blombergi,378584,Bulimulus,861633,1,0
Bulimulus tortuganus,378585,Bulimulus,861633,1,0
Bulimulus perrus,378586,Bulimulus,861633,1,0
Bulimulus tanneri,378587,Bulimulus,861633,1,0
Bulimulus pinzonensis,623472,Bulimulus,861633,1,0
Bulimulus pinzonopsis,954751,Bulimulus,861633,1,0
Chilostoma ichthyomma,864849,Chilostoma,871085,1,0
Diplommatina ringens,935384,Diplommatina,818217,1,0
Bythinella rufescens,993006,Bythinella,716161,0,1
Semisulcospira cancellata,451798,Semisulcospira,741120,0,1
Semisulcospira aubryana,521886,Semisulcospira,741120,0,1
Limax minimus,3895,Limax,154017,1,0
Vertigo brierensis,678324,Vertigo,426423,1,0
Vertigo iowaensis,642295,Vertigo,426423,1,0
Bythiospeum acutum,4960092,Bythiospeum,475218,0,1
Hemicycla retrodens,557190,Hemicycla,996423,1,0
Hemicyclavariae,94448,Hemicycla,996423,1,0
Gulella linguifera,408784,Gulella,818295,1,0
Bostryx apodemetes,858023,Bostryx,866574,1,0
Cochlostoma yapigium,873582,Cochlostoma,934001,1,0
Cochlostoma dionysii,915266,Cochlostoma,934001,1,0
Bellamya quadrata,688123,Bellamya,716177,0,1
Tricula wumingensis,1097828,Tricula,724822,0,1
Tricula hongshanensis,803710,Tricula,724822,0,1
Tricula hsiangi,803713,Tricula,724822,0,1
Chittypoma jarvisi,634858,Chittypoma,995446,1,0
Parachondria campbellii,1068848,Parachondria,932071,1,0
Parachondria shepardiana,1068842,Parachondria,932071,1,0
Parachondria wilkinsonii,7494682,Parachondria,932071,1,0
Chondropoma clenchi,516467,Chondropoma,932080,1,0
Chondropoma dilatatum,816303,Chondropoma,932080,1,0
Chondropoma compressa,930160,Chondropoma,932080,1,0
Chilostoma pelia,2879819,Chilostoma,871085,1,0
Chilostoma lefeburiana,2879846,Chilostoma,871085,1,0
Chilostoma planospira,189133,Chilostoma,871085,1,0
Chilostoma desmoulinsii,2879866,Chilostoma,871085,1,0
Chilostoma squamatinum,2879812,Chilostoma,871085,1,0
Chilostoma glaciale,712676,Chilostoma,871085,1,0
Chilostoma conemenosi,2879840,Chilostoma,871085,1,0
Chilostoma phocaea,2879845,Chilostoma,871085,1,0
Chilostoma subzonata,2879813,Chilostoma,871085,1,0
Chilostoma kollari,2879873,Chilostoma,871085,1,0
Chilostoma ambrosi,2879843,Chilostoma,871085,1,0
Chilostoma ziegleri,2879853,Chilostoma,871085,1,0
Chilostoma albanograeca,2879857,Chilostoma,871085,1,0
Chilostoma setigera,2879859,Chilostoma,871085,1,0
Chilostoma stenomphala,2879838,Chilostoma,871085,1,0
Chilostoma sztolcmani,2879830,Chilostoma,871085,1,0
Trochulus phorochaetius,5264535,Trochulus,999495,1,0
Trochulus phorochaetius,5264535,Trochulus,996567,1,0
Theba gittenbergeri,5517760,Theba,426410,1,0
Aegista permellita,5757706,Aegista,874976,1,0
Helicostyla pan,5973624,Helicostyla,993127,1,0
Helicostyla cryptica,5973622,Helicostyla,993127,1,0
Helicostyla butleri,5973633,Helicostyla,993127,1,0
Helicostyla corticolor,5973635,Helicostyla,993127,1,0
Helicostyla portei,5973645,Helicostyla,993127,1,0
Pupilla alluvionica,5758804,Pupilla,426395,1,0
Pupilla turcmenica,5758808,Pupilla,426395,1,0
Anodonta euscaphys,5718833,Anodonta,224838,NA,1
Semisulcospira dolorosa,689393,Semisulcospira,741120,0,1
Camaena jinpingensis,5973590,Camaena,835673,1,0
Bythiospeum septentrionale,7495389,Bythiospeum,475218,0,1
Cochlostoma arnautorum,7494391,Cochlostoma,934001,1,0
Cochlostoma mnelense,7494395,Cochlostoma,934001,1,0
Gnathostoma binucleatum,239590,Gnathostoma,1542770,1,1
Bursaphelenchus abruptus,229398,Bursaphelenchus,1544445,1,0
Bursaphelenchus conicaudatus,701590,Bursaphelenchus,1544445,1,0
Bursaphelenchus fraudulentus,701589,Bursaphelenchus,1544445,1,0
Bursaphelenchus xylophilus,1093850,Bursaphelenchus,1544445,1,0
Bursaphelenchus luxuriosae,327390,Bursaphelenchus,1544445,1,0
Gnathostoma doloresi,196482,Gnathostoma,1542770,1,1
Bursaphelenchus parvispicularis,280279,Bursaphelenchus,1544445,1,0
Bursaphelenchus rufipennis,786951,Bursaphelenchus,1544445,1,0
Onchocerca dewittei,39024,Onchocerca,1585475,1,1
Xiphinema brevicolle,129812,Xiphinema,583061,1,0
Trichinella britovi,898303,Trichinella,1584400,1,1
Trichinellativa,567341,Trichinella,1584400,1,1
Trichinellalsoni,567342,Trichinella,1584400,1,1
Trichinella murrelli,348834,Trichinella,1584400,1,1
Howardula aoronymphium,122551,Howardula,1584984,1,NA
Howardulaocosmis,122543,Howardula,1584984,1,NA
Howardula dominicki,122546,Howardula,1584984,1,NA
Litomosoides sigmodontis,549976,Litomosoides,1585461,1,NA
Onchocerca gibsoni,819801,Onchocerca,1585475,1,1
Onchocerca gutturosa,510920,Onchocerca,1585475,1,1
Onchocerca ochengi,462292,Onchocerca,1585475,1,1
Onchocerca lupi,847619,Onchocerca,1585475,1,1
Litomosoides brasiliensis,575092,Litomosoides,1585461,1,NA
Litomosoides hamletti,460673,Litomosoides,1585461,1,NA
Litomosoides yutajensis,460670,Litomosoides,1585461,1,NA
Litomosoides galizai,460671,Litomosoides,1585461,1,NA
Xiphinema americanum,224029,Xiphinema,583061,1,0
Xiphinema peruvianum,651594,Xiphinema,583061,1,0
Xiphinema citricolum,98665,Xiphinema,583061,1,0
