sample_id,kingdom,phylum,phylum_read_raw,phylum_read_index,phylum_pa,class,class_read_raw,class_read_index,class_pa,order,order_read_raw,order_read_index,order_pa,family,family_read_raw,family_read_index,family_pa,genus,genus_read_raw,genus_read_index,genus_pa,species,species_read_raw,species_read_index,species_pa,terrestrial,holoplankton
GH122,Animalia,Mollusca,0,0,0,Bivalvia,0,0,0,Cardiida,0,0,0,Tellinidae,0,0,0,Macoma,0,0,0,Macoma nasuta,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Bivalvia,0,0,0,Mytilida,0,0,0,Mytilidae,0,0,0,Mytilus,0,0,0,Mytilus californianus,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Asteroidea,6,0.052864841620485645,1,Forcipulatida,6,0.5171488219504922,1,Asteriidae,6,0.5323590814196243,1,Evasterias,6,0.5323590814196243,1,Evasterias troschelii,6,0.5323590814196243,1,0,0
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,Phyllodocida,0,0,0,Hesionidae,0,0,0,Oxydromus,0,0,0,Oxydromus pugettensis,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Ophiuroidea,0,0,0,Amphilepidida,0,0,0,Ophiopholidae,0,0,0,Ophiopholis,0,0,0,Ophiopholis aculeata,0,0,0,0,0
GH122,Animalia,Porifera,0,0,0,Demospongiae,0,0,0,Suberitida,0,0,0,Halichondriidae,0,0,0,Hymeniacidon,0,0,0,Hymeniacidon perlevis,0,0,0,0,0
GH122,Animalia,Annelida,0,0,0,Polychaeta,0,0,0,NA,0,NA,NA,Terebellidae,0,0,0,Neoamphitrite,0,0,0,Neoamphitrite robusta,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Holothuroidea,0,0,0,Dendrochirotida,0,0,0,Cucumariidae,0,0,0,Cucumaria,0,0,0,Cucumaria curata,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Holothuroidea,0,0,0,Apodida,0,0,0,Synaptidae,0,0,0,Leptosynapta,0,0,0,Leptosynapta clarki,0,0,0,0,0
GH122,Animalia,Mollusca,0,0,0,Gastropoda,0,0,0,Littorinimorpha,0,0,0,Littorinidae,0,0,0,Littorina,0,0,0,Littorina scutulata,0,0,0,0,0
GH122,Animalia,Cnidaria,27,0.028183716075156576,1,Anthozoa,0,0,0,Actiniaria,0,0,0,Halcampidae,0,0,0,Halcampa,0,0,0,Halcampa chrysanthellum,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Holothuroidea,0,0,0,Dendrochirotida,0,0,0,Cucumariidae,0,0,0,Cucumaria,0,0,0,Cucumaria vegae,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Ophiuroidea,0,0,0,Amphilepidida,0,0,0,Ophiopholidae,0,0,0,Ophiopholis,0,0,0,Ophiopholis kennerlyi,0,0,0,0,0
GH122,Animalia,Echinodermata,21,0.04616551409185804,1,Echinoidea,15,0.032975367208470024,1,Camarodonta,0,0,0,Strongylocentrotidae,0,0,0,Strongylocentrotus,0,0,0,Strongylocentrotus droebachiensis,0,0,0,0,0
