"","ncbi_sp","worms_match","worms_sciname","worms_aphiaid","original_aphiaid","status","unacceptreason","rank","valid_authority","kingdom","phylum","class","order","family","genus","freshwater_only","terrestrial_only","hybrid"
"6333","Trachurus capensis","Trachurus capensis","Trachurus capensis",218444,218444,"accepted",NA,"species","Castelnau, 1861","Animalia","Chordata","Teleostei","Carangiformes","Carangidae","Trachurus","0","0",NA
"6334","Centrolophus niger","Centrolophus niger","Centrolophus niger",126831,126831,"accepted",NA,"species","(Gmelin, 1789)","Animalia","Chordata","Teleostei","Scombriformes","Centrolophidae","Centrolophus","0","0",NA
"6335","Sparisoma","Sparisoma","Sparisoma",126051,126051,"accepted",NA,"genus","Swainson, 1839","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Scaridae","Sparisoma","0","0",NA
"6336","Petrochromis trewavasae","Petrochromis trewavasae","Petrochromis trewavasae",1014297,1014297,"accepted",NA,"species","Poll, 1948","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Petrochromis","1","0",NA
"6337","Tropheus moorii","Tropheus moorii","Tropheus moorii",1019140,1019140,"accepted",NA,"species","Boulenger, 1898","Animalia","Chordata","Teleostei","Cichliformes","Cichlidae","Tropheus","1","0",NA
"6338","Campylomormyrus compressirostris","Campylomormyrus compressirostris","Campylomormyrus compressirostris",1016509,1016509,"accepted",NA,"species","(Pellegrin, 1924)","Animalia","Chordata","Teleostei","Osteoglossiformes","Mormyridae","Campylomormyrus","1","0",NA
"6339","Pastinachus ater","Pastinachus ater","Pastinachus ater",1019891,1019891,"accepted",NA,"species","(Macleay, 1883)","Animalia","Chordata","Elasmobranchii","Myliobatiformes","Dasyatidae","Pastinachus","0","0",NA
"6340","Aphanius fasciatus","Aphanius fasciatus","Aphanius fasciatus",126428,126428,"accepted",NA,"species","(Valenciennes, 1821)","Animalia","Chordata","Teleostei","Cyprinodontiformes","Cyprinodontidae","Aphanius","0","0",NA
"6341","Aphanius fasciatus","Aphanius fasciatus","Aphanius fasciatus",126428,367715,"unaccepted",NA,"species","(Valenciennes, 1821)","Animalia","Chordata","Teleostei","Cyprinodontiformes","Cyprinodontidae","Aphanius","0","0",NA
"6342","Silurus glanis","Silurus glanis","Silurus glanis",154677,154677,"accepted",NA,"species","Linnaeus, 1758","Animalia","Chordata","Teleostei","Siluriformes","Siluridae","Silurus","0","0",NA
"6343","Aphyocypris kikuchii","Aphyocypris kikuchii","Aphyocypris kikuchii",1525714,1525714,"accepted",NA,"species","(Oshima, 1919)","Animalia","Chordata","Teleostei","Cypriniformes","Cyprinidae","Aphyocypris","1","0",NA
"6344","Lepidorhombus boscii","Lepidorhombus boscii","Lepidorhombus boscii",127145,127145,"accepted",NA,"species","(Risso, 1810)","Animalia","Chordata","Teleostei","Pleuronectiformes","Scophthalmidae","Lepidorhombus","0","0",NA
"6345","Ijimaia dofleini","Ijimaia dofleini","Ijimaia dofleini",272024,272024,"accepted",NA,"species","Sauter, 1905","Animalia","Chordata","Teleostei","Ateleopodiformes","Ateleopodidae","Ijimaia","0","0",NA
