accession,found_taxa,common_name,rank,taxa_verbatim,taxonomy_search,hybrid,worms_sciname,worms_aphiaid,original_aphiaid,status,unacceptreason,valid_authority,kingdom,phylum,class,order,family,genus,freshwater_only,terrestrial_only,n_dups
AF159636,Unknown bacteria,Bacteria,offtarget,uncultured marine eubacterium HstpL35,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
GU119865,Unknown organism,Unknown organism,offtarget,uncultured organism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
KX937776,Unknown eukaryote,Unknown eukaryote,offtarget,uncultured marine eukaryote,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,NA,NA,NA,NA,NA,NA,NA,1
JF929464,Cyanobacteria,Bacteria,offtarget,uncultured cyanobacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,Cyanobacteriota,NA,NA,NA,NA,NA,NA,1
FJ930478,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
FJ930212,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
FJ930168,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
MH819006,Bacillariophyta,Diatom,offtarget,uncultured diatom,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,Bacillariophyta,NA,NA,NA,NA,NA,NA,1
MH818950,Bacillariophyta,Diatom,offtarget,uncultured diatom,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,Bacillariophyta,NA,NA,NA,NA,NA,NA,1
LR595548,Unknown bacteria,Bacteria,offtarget,uncultured bacterium,NA,NA,NA,NA,NA,NA,NA,NA,Bacteria,NA,NA,NA,NA,NA,NA,NA,1
NC_037997,Plagiogrammopsis vanheurckii,Diatom,offtarget,Plagiogrammopsis vanheurckii,NA,NA,NA,NA,NA,NA,NA,NA,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Plagiogrammopsis,NA,NA,1
