accession,taxonomy
KY779853,root;Eukaryota;Chordata;Actinopteri;Siluriformes;Bagridae;Pseudobagrus;Pseudobagrus_tenuis
KY783659,root;Eukaryota;Chordata;Actinopteri;Perciformes;Cottidae;Cottus;Cottus_czerskii
KY798142,root;Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Hippocampus;Hippocampus_mohnikei
KY798443,root;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Geotriidae;Geotria;Geotria_australis
KY798444,root;Eukaryota;Chordata;Hyperoartia;Petromyzontiformes;Petromyzontidae;Mordacia;Mordacia_mordax
KY798445,root;Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla_reinhardtii
KY798446,root;Eukaryota;Chordata;Actinopteri;Anguilliformes;Anguillidae;Anguilla;Anguilla_australis
KY798447,root;Eukaryota;Chordata;Actinopteri;Clupeiformes;Clupeidae;Nematalosa;Nematalosa_erebi
KY798448,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;;Percalates;Percalates_colonorum
KY798449,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;;Percalates;Percalates_novemaculeata
KY798450,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Gadopsis;Gadopsis_bispinosus
KY798451,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Gadopsis;Gadopsis_marmoratus
KY798452,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Maccullochella;Maccullochella_peelii
KY798453,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Maccullochella;Maccullochella_macquariensis
KY798454,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Macquaria;Macquaria_australasica
KY798455,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Macquaria;Macquaria_ambigua
KY798456,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Nannoperca;Nannoperca_obscura
KY798457,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Percichthyidae;Nannoperca;Nannoperca_australis
KY798458,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Bidyanus;Bidyanus_bidyanus
KY798459,root;Eukaryota;Chordata;Actinopteri;Centrarchiformes;Terapontidae;Leiopotherapon;Leiopotherapon_unicolor
KY798460,root;Eukaryota;Chordata;Actinopteri;Perciformes;Pseudaphritidae;Pseudaphritis;Pseudaphritis_urvillii
KY798461,root;Eukaryota;Chordata;Actinopteri;Perciformes;Percidae;Perca;Perca_fluviatilis
KY798462,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Oxyeleotris;Oxyeleotris_lineolata
KY798463,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_klunzingeri
KY798464,root;Eukaryota;Chordata;Actinopteri;Gobiiformes;Eleotridae;Hypseleotris;Hypseleotris_bucephala
