"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"5859","Neodiaptomus schmackeri","Neodiaptomus schmackeri",NA,NA,NA,NA,757822,NA,"Neodiaptomus schmackeri",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5860","Acartia clausii","Acartia clausii",NA,NA,NA,NA,1057154,NA,"Acartia clausii",NA,NA,"Arthropoda",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"5861","Pontellopsis armata","Pontellopsis armata","species",360239,359624,2114189,722184,"Pontellopsis armata","Pontellopsis armata","Pontellopsis armata","Pontellopsis armata (Giesbrecht, 1889)","Arthropoda","accepted",NA,FALSE,"","(Giesbrecht, 1889)","Animalia","Copepoda","Calanoida","Pontellidae","Pontellopsis","0","0"
"5862","Ivellopsis denticauda","Ivellopsis denticauda","species",767266,935016,8285319,2955525,"Ivellopsis denticauda","Ivellopsis denticauda","Ivellopsis denticauda","Ivellopsis denticauda (Scott A., 1909)","Arthropoda","accepted",NA,FALSE,"","(Scott A., 1909)","Animalia","Copepoda","Calanoida","Pontellidae","Ivellopsis","0","0"
"5863","Pontella diagonalis","Pontella diagonalis","species",354857,799610,4334141,2955548,"Pontella diagonalis","Pontella diagonalis","Pontella diagonalis","Pontella diagonalis Wilson C.B., 1950","Arthropoda","accepted",NA,FALSE,"","Wilson C.B., 1950","Animalia","Copepoda","Calanoida","Pontellidae","Pontella","0","0"
"5864","Megacalanus frosti","Megacalanus frosti","species",955135,935161,9471552,7114307,"Megacalanus frosti","Megacalanus frosti","Megacalanus frosti","Megacalanus frosti Bradford-Grieve, Blanco-Bercial & Boxshall, 2017","Arthropoda","accepted",NA,FALSE,"","Bradford-Grieve, Blanco-Bercial & Boxshall, 2017","Animalia","Copepoda","Calanoida","Megacalanidae","Megacalanus","0","0"
"5865","Calanoides patagoniensis","Calanoides patagoniensis","species",345759,935167,4333816,2957035,"Calanoides patagoniensis","Calanoides patagoniensis","Calanoides patagoniensis","Calanoides patagoniensis Brady, 1883","Arthropoda","accepted",NA,FALSE,"","Brady, 1883","Animalia","Copepoda","Calanoida","Calanidae","Calanoides","0","0"
"5866","Anomalocera patersoni","Anomalocera patersoni",NA,NA,NA,NA,198611,NA,"Anomalocera patersoni",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5867","Pleuromamma borealis","Pleuromamma borealis","species",104638,302275,2114834,120969,"Pleuromamma borealis","Pleuromamma borealis","Pleuromamma borealis","Pleuromamma borealis Dahl F., 1893","Arthropoda","accepted",NA,FALSE,"","Dahl F., 1893","Animalia","Copepoda","Calanoida","Metridinidae","Pleuromamma","0","0"
"5868","Pontella spinipes","Pontella spinipes","species",104741,799608,2114216,2955508,"Pontella spinipes","Pontella spinipes","Pontella spinipes","Pontella spinipes Giesbrecht, 1889","Arthropoda","accepted",NA,FALSE,"","Giesbrecht, 1889","Animalia","Copepoda","Calanoida","Pontellidae","Pontella","0","0"
"5869","Metadiaptomus asiaticus","Metadiaptomus asiaticus",NA,NA,NA,NA,4675933,NA,"Metadiaptomus asiaticus",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5870","Paracalanidae","Paracalanidae","family",104093,1738,9046,350914,"Paracalanidae","Paracalanidae","Paracalanidae","Paracalanidae","Arthropoda","accepted",NA,FALSE,"","Giesbrecht, 1893","Animalia","Copepoda","Calanoida","Paracalanidae",NA,"0","0"
"5871","Troglocaris planinensis","Troglocaris planinensis",NA,NA,NA,NA,755817,NA,"Troglocaris planinensis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5872","Neoverruca brachylepadoformis","Neoverruca brachylepadoformis","species",733292,25711,7778688,990724,"Neoverruca brachylepadoformis","Neoverruca brachylepadoformis","Neoverruca brachylepadoformis","Neoverruca brachylepadoformis Newman, 1989","Arthropoda","accepted",NA,FALSE,"","Newman, 1989 in Hessler & Newman, 1989","Animalia","Thecostraca","Scalpellomorpha","Neoverrucidae","Neoverruca","0","0"
"5873","Rostratoverruca krugeri","Rostratoverruca krugeri",NA,NA,NA,NA,191804,NA,"Rostratoverruca krugeri",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5874","Pontellopsis tenuicauda","Pontellopsis tenuicauda","species",220932,83409,2114187,722181,"Pontellopsis tenuicauda","Pontellopsis tenuicauda","Pontellopsis tenuicauda","Pontellopsis tenuicauda (Giesbrecht, 1889)","Arthropoda","accepted",NA,FALSE,"","(Giesbrecht, 1889)","Animalia","Copepoda","Calanoida","Pontellidae","Pontellopsis","0","0"
"5875","Pontella rostraticauda","Pontella rostraticauda","species",354881,79554,4334134,147713,"Pontella rostraticauda","Pontella rostraticauda","Pontella rostraticauda","Pontella rostraticauda Ohtsuka, Fleminger & Onbé, 1987","Arthropoda","accepted",NA,FALSE,"","Ohtsuka, Fleminger & Onbé, 1987","Animalia","Copepoda","Calanoida","Pontellidae","Pontella","0","0"
"5876","Cletocamptus deitersi","Cletocamptus deitersi",NA,NA,NA,NA,41175,NA,"Cletocamptus deitersi",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5877","Cletocamptus helobius","Cletocamptus helobius",NA,NA,NA,NA,41178,NA,"Cletocamptus helobius",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"5878","Calanus chilensis","Calanus chilensis","species",346212,31237,5720052,234329,"Calanus chilensis","Calanus chilensis","Calanus chilensis","Calanus chilensis Brodsky, 1959","Arthropoda","accepted",NA,FALSE,"","Brodsky, 1959","Animalia","Copepoda","Calanoida","Calanidae","Calanus","0","0"
"5879","Calanus australis","Calanus australis",NA,NA,NA,NA,234328,NA,"Calanus australis",NA,NA,"Arthropoda",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
