"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"2481","Planocera reticulata","Planocera reticulata","species",483673,898992,5891979,101215,"Planocera reticulata","Planocera reticulata","Planocera reticulata","Planocera reticulata (Stimpson, 1855)","Platyhelminthes",NA,NA,"Polycladida","Planoceridae","Planocera","Planocera reticulata",793,NA,NA,2853,142065,142232,483673,"(Stimpson, 1855)",FALSE,""
"2482","Planocera reticulata","Planocera reticulata","species",878883,898992,5891979,101215,"Planocera reticulata","Planocera reticulata","Planocera reticulata","Planocera reticulata (Stimpson, 1855)","Platyhelminthes",NA,NA,"Polycladida","Planoceridae","Planocera","Planocera reticulata",793,NA,NA,2853,142065,142232,878883,"(Gray, 1860)",FALSE,""
"2483","Colochirus quadrangularis","Colochirus quadrangularis","species",213075,222706,4342297,3652972,"Colochirus quadrangularis","Colochirus quadrangularis","Colochirus quadrangularis","Colochirus quadrangularis Troschel, 1846","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Colochirus","Colochirus quadrangularis",1806,123083,1393249,123111,123187,123478,213075,"Troschel, 1846",FALSE,""
"2484","Colochirus sp_1_GP","Colochirus sp_1_GP","species",NA,748129,NA,NA,NA,NA,"Colochirus sp_1_GP",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2485","Colochirus robustus","Colochirus robustus","species",241806,222707,4342301,3653097,"Colochirus robustus","Colochirus robustus","Colochirus robustus","Colochirus robustus Östergren, 1898","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Colochirus","Colochirus robustus",1806,123083,1393249,123111,123187,123478,241806,"Östergren, 1898",FALSE,""
"2486","Plesiocolochirus sp_2_GP","Plesiocolochirus sp_2_GP","species",NA,748181,NA,NA,NA,NA,"Plesiocolochirus sp_2_GP",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2487","Plesiocolochirus sp_1_GP","Plesiocolochirus sp_1_GP","species",NA,748174,NA,NA,NA,NA,"Plesiocolochirus sp_1_GP",NA,"Echinodermata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2488","Plesiocolochirus challengeri","Plesiocolochirus challengeri","species",529602,748276,4877350,3653316,"Plesiocolochirus challengeri","Plesiocolochirus challengeri","Plesiocolochirus challengeri","Plesiocolochirus challengeri (Théel, 1886)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Plesiocolochirus","Plesiocolochirus challengeri",1806,123083,1393249,123111,123187,206174,529602,"(Théel, 1886)",FALSE,""
"2489","Plesiocolochirus ignavus","Plesiocolochirus ignavus","species",529603,748245,5966481,3653352,"Plesiocolochirus ignavus","Plesiocolochirus ignavus","Plesiocolochirus ignavus","Plesiocolochirus ignavus (Ludwig, 1875)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Plesiocolochirus","Plesiocolochirus ignavus",1806,123083,1393249,123111,123187,206174,529603,"(Ludwig, 1875)",FALSE,""
"2490","Plesiocolochirus tessellarus","Plesiocolochirus tessellarus","species",241365,748141,7188987,3653351,"Plesiocolochirus tessellarus","Plesiocolochirus tessellarus","Plesiocolochirus tessellarus","Plesiocolochirus tessellarus (Cherbonnier, 1970)","Echinodermata","Holothuroidea","Actinopoda","Dendrochirotida","Cucumariidae","Plesiocolochirus","Plesiocolochirus tessellarus",1806,123083,1393249,123111,123187,206174,241365,"(Cherbonnier, 1970)",FALSE,""
