"","taxa_query","taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","subclass","order","family","genus","species","wormsid_phylum","wormsid_class","wormsid_subclass","wormsid_order","wormsid_family","wormsid_genus","wormsid_species","authority","is_synonym","flags"
"8823","Bandona boninensis","Bandona boninensis","species",NA,717912,6911071,5096108,NA,"Bandona boninensis","Bandona boninensis","Bandona boninensis Suzuki, 1974","Arthropoda",NA,NA,NA,"Assamiidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,""
"8824","Xeruca formosensis","Xeruca formosensis","species",955328,798510,9600274,2981575,"Xeruca formosensis","Xeruca formosensis","Xeruca formosensis","Xeruca formosensis (Rathbun, 1921)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Xeruca","Xeruca formosensis",1065,1071,1086,1130,106773,955327,955328,"(Rathbun, 1921)",FALSE,""
"8825","Tubuca bellator","Tubuca bellator","species",955308,798480,9423107,2981565,"Tubuca bellator","Tubuca bellator","Tubuca bellator","Tubuca bellator (White, 1847)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca bellator",1065,1071,1086,1130,106773,955064,955308,"(White, 1847)",FALSE,""
"8826","Tubuca elegans","Tubuca elegans","species",955314,798481,9525199,2981586,"Tubuca elegans","Tubuca elegans","Tubuca elegans","Tubuca elegans (R.W.George & D.S.Jones, 1982)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca elegans",1065,1071,1086,1130,106773,955064,955314,"(R.W. George & D.S. Jones, 1982)",FALSE,""
"8827","Tubuca longidigitum","Tubuca longidigitum","species",955318,798482,9571597,2981601,"Tubuca longidigitum","Tubuca longidigitum","Tubuca longidigitum","Tubuca longidigitum (Kingsley, 1880)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca longidigitum",1065,1071,1086,1130,106773,955064,955318,"(Kingsley, 1880)",FALSE,""
"8828","Tubuca acuta","Tubuca acuta","species",955065,798484,9536084,2981607,"Tubuca acuta","Tubuca acuta","Tubuca acuta","Tubuca acuta (Stimpson, 1858)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca acuta",1065,1071,1086,1130,106773,955064,955065,"(Stimpson, 1858)",FALSE,""
"8829","Tubuca forcipata","Tubuca forcipata","species",955316,798486,9582433,2981600,"Tubuca forcipata","Tubuca forcipata","Tubuca forcipata","Tubuca forcipata (Adams & White, 1849)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca forcipata",1065,1071,1086,1130,106773,955064,955316,"(Adams & White, 1849)",FALSE,""
"8830","Tubuca paradussumieri","Tubuca paradussumieri","species",955319,798487,9246409,2981599,"Tubuca paradussumieri","Tubuca paradussumieri","Tubuca paradussumieri","Tubuca paradussumieri (Bott, 1973)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca paradussumieri",1065,1071,1086,1130,106773,955064,955319,"(Bott, 1973)",FALSE,""
"8831","Tubuca rosea","Tubuca rosea","species",955322,798496,9618325,2981597,"Tubuca rosea","Tubuca rosea","Tubuca rosea","Tubuca rosea (Tweedie, 1937)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca rosea",1065,1071,1086,1130,106773,955064,955322,"(Tweedie, 1937)",FALSE,""
"8832","Tubuca urvillei","Tubuca urvillei","species",955326,798488,9378331,2981595,"Tubuca urvillei","Tubuca urvillei","Tubuca urvillei","Tubuca urvillei (H.Milne Edwards, 1852)","Arthropoda","Malacostraca","Eumalacostraca","Decapoda","Ocypodidae","Tubuca","Tubuca urvillei",1065,1071,1086,1130,106773,955064,955326,"(H. Milne Edwards, 1852)",FALSE,""
