"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","class","order","family","genus","freshwater_only","terrestrial_only"
"4010","Craspedochiton laqueatus","Craspedochiton laqueatus","species",213484,656574,2305866,2867722,"Craspedochiton laqueatus","Craspedochiton laqueatus","Craspedochiton laqueatus","Craspedochiton laqueatus (G.B.Sowerby II, 1842)","Mollusca","accepted",NA,FALSE,"","(G. B. Sowerby II, 1842)","Animalia","Polyplacophora","Chitonida","Acanthochitonidae","Craspedochiton","0","0"
"4011","Lepidochitona aleutica","Lepidochitona aleutica",NA,NA,NA,NA,2866739,NA,"Lepidochitona aleutica",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4012","Leptoplax coarctata","Leptoplax coarctata","species",386551,656832,5728560,4965802,"Leptoplax coarctata","Leptoplax coarctata","Leptoplax coarctata","Leptoplax coarctata (G.B.Sowerby II, 1841)","Mollusca","accepted",NA,FALSE,"","(G. B. Sowerby II, 1841)","Animalia","Polyplacophora","Chitonida","Acanthochitonidae","Leptoplax","0","0"
"4013","Leptoplax curvisetosa","Leptoplax curvisetosa","species",386552,656833,5728557,4965795,"Leptoplax curvisetosa","Leptoplax curvisetosa","Leptoplax curvisetosa","Leptoplax curvisetosa (Leloup, 1960)","Mollusca","accepted",NA,FALSE,"","(Leloup, 1960)","Animalia","Polyplacophora","Chitonida","Acanthochitonidae","Leptoplax","0","0"
"4014","Macellomenia","Macellomenia","genus",138155,598250,4304554,2849920,"Macellomenia","Macellomenia","Macellomenia","Macellomenia Simroth, 1893","Mollusca","accepted",NA,FALSE,"","Simroth, 1893","Animalia","Solenogastres",NA,"Macellomeniidae","Macellomenia","0","0"
"4015","Meiomenia swedmarki","Meiomenia swedmarki","species",391074,652187,2289036,2849914,"Meiomenia swedmarki","Meiomenia swedmarki","Meiomenia swedmarki","Meiomenia swedmarki Morse, 1979","Mollusca","accepted",NA,FALSE,"","Morse, 1979","Animalia","Solenogastres",NA,"Meiomeniidae","Meiomenia","0","0"
"4016","Oncomelania quadrasi","Oncomelania quadrasi",NA,NA,NA,NA,895823,NA,"Oncomelania quadrasi",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4017","Cabestana tabulata","Cabestana tabulata","species",476467,902305,4613650,2890319,"Cabestana tabulata","Cabestana tabulata","Cabestana tabulata","Cabestana tabulata (Menke, 1843)","Mollusca","accepted",NA,FALSE,"","(Menke, 1843)","Animalia","Gastropoda","Littorinimorpha","Cymatiidae","Cabestana","0","0"
"4018","Charonia lampas","Charonia lampas","species",141101,751954,5724924,283873,"Charonia lampas","Charonia lampas","Charonia lampas","Charonia lampas (Linnaeus, 1758)","Mollusca","accepted",NA,FALSE,"","(Linnaeus, 1758)","Animalia","Gastropoda","Littorinimorpha","Charoniidae","Charonia","0","0"
"4019","Fusitriton laudandus","Fusitriton laudandus","species",476493,901917,6488505,2890111,"Fusitriton laudandus","Fusitriton laudandus","Fusitriton laudandus","Fusitriton laudandus Finlay, 1926","Mollusca","accepted",NA,FALSE,"","Finlay, 1926","Animalia","Gastropoda","Littorinimorpha","Cymatiidae","Fusitriton","0","0"
"4020","Fusitriton magellanicus","Fusitriton magellanicus","species",476494,261059,4613674,2890112,"Fusitriton magellanicus","Fusitriton magellanicus","Fusitriton magellanicus","Fusitriton magellanicus (Röding, 1798)","Mollusca","accepted",NA,FALSE,"","(Röding, 1798)","Animalia","Gastropoda","Littorinimorpha","Cymatiidae","Fusitriton","0","0"
"4021","Gyrineum natator","Gyrineum natator","species",476506,277378,6126475,2890248,"Gyrineum natator","Gyrineum natator","Gyrineum natator","Gyrineum natator (Röding, 1798)","Mollusca","accepted",NA,FALSE,"","(Röding, 1798)","Animalia","Gastropoda","Littorinimorpha","Cymatiidae","Gyrineum","0","0"
"4022","Sassia palmeri","Sassia palmeri",NA,NA,NA,NA,2890273,NA,"Sassia palmeri",NA,NA,"Mollusca",NA,NA,FALSE,"sibling_higher",NA,NA,NA,NA,NA,NA,NA,NA
"4023","Alvania angioyi","Alvania angioyi","species",141157,901735,5725196,2891710,"Alvania angioyi","Alvania angioyi","Alvania angioyi","Alvania angioyi van Aartsen, 1982","Mollusca","accepted",NA,FALSE,"","van Aartsen, 1982","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Alvania","0","0"
"4024","Alvania formicarum","Alvania formicarum","species",141188,901736,5725273,2891534,"Alvania formicarum","Alvania formicarum","Alvania formicarum","Alvania formicarum Gofas, 1989","Mollusca","accepted",NA,FALSE,"","Gofas, 1989","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Alvania","0","0"
"4025","Alvania mediolittoralis","Alvania mediolittoralis","species",141213,361880,5725141,2891646,"Alvania mediolittoralis","Alvania mediolittoralis","Alvania mediolittoralis","Alvania mediolittoralis Gofas, 1989","Mollusca","accepted",NA,FALSE,"","Gofas, 1989","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Alvania","0","0"
"4026","Alvania sleursi","Alvania sleursi","species",141239,361888,5725136,2891624,"Alvania sleursi","Alvania sleursi","Alvania sleursi","Alvania sleursi (Amati, 1987)","Mollusca","accepted",NA,FALSE,"","(Amati, 1987)","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Alvania","0","0"
"4027","Botryphallus ovummuscae","Botryphallus ovummuscae","species",141267,901699,4361677,2915546,"Botryphallus ovummuscae","Botryphallus ovummuscae","Botryphallus ovummuscae","Botryphallus ovummuscae (Gofas, 1990)","Mollusca","accepted",NA,FALSE,"","(Gofas, 1990)","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Botryphallus","0","0"
"4028","Crisilla postrema","Crisilla postrema","species",141279,901701,4361379,2920513,"Crisilla postrema","Crisilla postrema","Crisilla postrema","Crisilla postrema (Gofas, 1990)","Mollusca","accepted",NA,FALSE,"","(Gofas, 1990)","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Crisilla","0","0"
"4029","Setia subvaricosa","Setia subvaricosa","species",141397,901740,5725375,2891441,"Setia subvaricosa","Setia subvaricosa","Setia subvaricosa","Setia subvaricosa Gofas, 1990","Mollusca","accepted",NA,FALSE,"","Gofas, 1990","Animalia","Gastropoda","Littorinimorpha","Rissoidae","Setia","0","0"
"4030","Conomurex luhuanus","Conomurex luhuanus","species",565370,898446,6489952,894560,"Conomurex luhuanus","Conomurex luhuanus","Conomurex luhuanus","Conomurex luhuanus (Linnaeus, 1758)","Mollusca","accepted",NA,FALSE,"","(Linnaeus, 1758)","Animalia","Gastropoda","Littorinimorpha","Strombidae","Conomurex","0","0"
"4031","Thylacodes decussatus","Thylacodes decussatus","species",709486,901741,8378260,2889512,"Thylacodes decussatus","Thylacodes decussatus","Thylacodes decussatus","Thylacodes decussatus (Gmelin, 1791)","Mollusca","accepted",NA,FALSE,"","(Gmelin, 1791)","Animalia","Gastropoda","Littorinimorpha","Vermetidae","Thylacodes","0","0"
"4032","Thylacodes","Thylacodes","genus",598651,463830,4585725,725390,"Thylacodes","Thylacodes","Thylacodes","Thylacodes Guettard, 1770","Mollusca","accepted",NA,FALSE,"sibling_higher","Guettard, 1770","Animalia","Gastropoda","Littorinimorpha","Vermetidae","Thylacodes","0","0"
"4033","Thylaeodus","Thylaeodus","genus",146458,901688,4360451,725397,"Thylaeodus","Thylaeodus","Thylaeodus","Thylaeodus Mörch, 1860","Mollusca","accepted",NA,FALSE,"sibling_higher","Mörch, 1860","Animalia","Gastropoda","Littorinimorpha","Vermetidae","Thylaeodus","0","0"
"4034","Vermetus erectus","Petaloconchus erectus",NA,NA,NA,NA,348006,NA,"Petaloconchus erectus",NA,NA,"Mollusca",NA,NA,TRUE,"",NA,NA,NA,NA,NA,NA,NA,NA
"4035","Aeneator elegans","Aeneator elegans","species",598719,902307,2304713,2901861,"Aeneator elegans","Aeneator elegans","Aeneator elegans","Aeneator elegans (Suter, 1917)","Mollusca","accepted",NA,FALSE,"","(Suter, 1917)","Animalia","Gastropoda","Neogastropoda","Tudiclidae","Aeneator","0","0"
"4036","Aeneator recens","Aeneator recens","species",490675,208501,2304716,2901371,"Aeneator recens","Aeneator recens","Aeneator recens","Aeneator recens (Dell, 1951)","Mollusca","accepted",NA,FALSE,"","(Dell, 1951)","Animalia","Gastropoda","Neogastropoda","Tudiclidae","Aeneator","0","0"
"4037","Anoma levis","Anoma levis",NA,NA,NA,NA,5973686,NA,"Anoma levis",NA,NA,"Mollusca",NA,NA,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA
