"","taxa_query","found_taxa","rank","worms_aphiaid","bold_id","gbif_key","ott_id","worms_sciname","tol_sciname","bold_taxon","gbif_sciname","phylum","class","status","unacceptreason","is_synonym","flags","valid_authority","kingdom","order","family","genus","freshwater_only","terrestrial_only"
"1409","Bathyglycinde profunda","Bathyglycinde profunda","species",240611,303636,2316476,899722,"Bathyglycinde profunda","Bathyglycinde profunda","Bathyglycinde profunda","Bathyglycinde profunda (Hartman & Fauchald, 1971)","Annelida","Polychaeta","accepted",NA,FALSE,"","(Hartman & Fauchald, 1971)","Animalia","Phyllodocida","Goniadidae","Bathyglycinde","0","0"
"1410","Glycera southeastatlantica","Glycera southeastatlantica","species",582416,303637,5854110,819572,"Glycera southeastatlantica","Glycera southeastatlantica","Glycera southeastatlantica","Glycera southeastatlantica Böggemann, 2009","Annelida","Polychaeta","accepted",NA,FALSE,"","Böggemann, 2009","Animalia","Phyllodocida","Glyceridae","Glycera","0","0"
"1411","Erpobdella montezuma","Erpobdella montezuma",NA,NA,NA,NA,780892,NA,"Erpobdella montezuma",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Erpobdellidae",NA,NA,NA
"1412","Limnobdella mexicana","Limnobdella mexicana",NA,NA,NA,NA,257869,NA,"Limnobdella mexicana",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Hirudinidae",NA,NA,NA
"1413","Goddardobdella elegans","Goddardobdella elegans",NA,NA,NA,NA,257872,NA,"Goddardobdella elegans",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Hirudinidae",NA,NA,NA
"1414","Acrocirrus validus","Acrocirrus validus","species",326219,304526,2326169,734393,"Acrocirrus validus","Acrocirrus validus","Acrocirrus validus","Acrocirrus validus Marenzeller, 1879","Annelida","Polychaeta","accepted",NA,FALSE,"","Marenzeller, 1879","Animalia","Terebellida","Acrocirridae","Acrocirrus","0","0"
"1415","Deinodrilus gorgon","Deinodrilus gorgon",NA,NA,NA,NA,503890,NA,"Deinodrilus gorgon",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Acanthodrilidae",NA,NA,NA
"1416","Octochaetus kenleei","Octochaetus kenleei",NA,NA,NA,NA,503896,NA,"Octochaetus kenleei",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Octochaetidae",NA,NA,NA
"1417","Maoridrilus felix","Maoridrilus felix",NA,NA,NA,NA,503893,NA,"Maoridrilus felix",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Acanthodrilidae",NA,NA,NA
"1418","Osedax rubiplumus","Osedax rubiplumus","species",265981,152720,2329593,226884,"Osedax rubiplumus","Osedax rubiplumus","Osedax rubiplumus","Osedax rubiplumus Rouse, Goffredi & Vrijenhoek, 2004","Annelida","Polychaeta","accepted",NA,FALSE,"","Rouse, Goffredi & Vrijenhoek, 2004","Animalia","Sabellida","Siboglinidae","Osedax","0","0"
"1419","Osedax frankpressi","Osedax frankpressi","species",265979,152719,2329594,631828,"Osedax frankpressi","Osedax frankpressi","Osedax frankpressi","Osedax frankpressi Rouse, Goffredi & Vrijenhoek, 2004","Annelida","Polychaeta","accepted",NA,FALSE,"","Rouse, Goffredi & Vrijenhoek, 2004","Animalia","Sabellida","Siboglinidae","Osedax","0","0"
"1420","Osedax roseus","Osedax roseus","species",588636,212465,5854306,44208,"Osedax roseus","Osedax roseus","Osedax roseus","Osedax roseus Rouse, Worsaae, Johnson, Jones & Vrijenhoek, 2008","Annelida","Polychaeta","accepted",NA,FALSE,"","Rouse, Worsaae, Johnson, Jones & Vrijenhoek, 2008","Animalia","Sabellida","Siboglinidae","Osedax","0","0"
"1421","Poecilobdella javanica","Poecilobdella javanica",NA,NA,NA,NA,780884,NA,"Poecilobdella javanica",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Hirudinidae",NA,NA,NA
"1422","Flabelligera mundata","Flabelligera mundata",NA,NA,NA,NA,1045798,NA,"Flabelligera mundata",NA,NA,"Annelida","Polychaeta",NA,NA,FALSE,"sibling_higher",NA,NA,NA,"Flabelligeridae",NA,NA,NA
"1423","Erpobdella annulata","Erpobdella annulata",NA,NA,NA,NA,631087,NA,"Erpobdella annulata",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Erpobdellidae",NA,NA,NA
"1424","Salifa perspicax","Salifa perspicax",NA,NA,NA,NA,631094,NA,"Salifa perspicax",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Salifidae",NA,NA,NA
"1425","Helobdella californica","Helobdella californica",NA,NA,NA,NA,376476,NA,"Helobdella californica",NA,NA,"Annelida","Clitellata",NA,NA,FALSE,"",NA,NA,NA,"Glossiphoniidae",NA,NA,NA
