"","species","hakai2020","hart","hakaiseine","hakaisample","terrestrial_only","freshwater_only","worms_sciname","class","order","family","genus","status","unacceptreason","is_synonym","worms_aphiaid","bold_id","gbif_key","ott_id"
"187","Nectoliparis pelagicus",0,1,0,0,"0","0","Nectoliparis pelagicus","Actinopteri","Perciformes","Liparidae","Nectoliparis","accepted",NA,FALSE,281641,99717,2336122,1019583
"188","Notolepis rissoi rissoi",0,1,0,0,"0","0","Arctozenus risso","Actinopteri","Aulopiformes","Paralepididae","Notolepis","unaccepted",NA,TRUE,126352,NA,6165761,288389
"189","Notorynchus maculatus",0,1,0,0,"0","0","Notorynchus cepedianus","Elasmobranchii","Hexanchiformes","Hexanchidae","Notorynchus","unaccepted","synonym",TRUE,217628,NA,2420606,290409
"190","Notoscopelus resplendens",0,1,0,0,"0","0","Notoscopelus resplendens","Actinopteri","Myctophiformes","Myctophidae","Notoscopelus","accepted",NA,FALSE,158916,142466,2406106,866168
"191","Occella impi",0,1,0,0,"0","0","Stellerina xyosterna","Actinopteri","Perciformes","Agonidae","Occella","unaccepted",NA,TRUE,254366,NA,2337204,706144
"192","Occella verrucosa",0,1,0,0,"0","0","Chesnonia verrucosa","Actinopteri","Perciformes","Agonidae","Occella","unaccepted",NA,TRUE,254507,NA,2337178,744906
"193","Oligocottus snyderi",0,1,0,0,"0","0","Oligocottus snyderi","Actinopteri","Perciformes","Cottidae","Oligocottus","accepted",NA,FALSE,281875,125661,2333742,735812
"194","Oncorhynchus nerka",0,1,1,1,"0","0","Oncorhynchus nerka","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","accepted",NA,FALSE,254569,88747,5204039,165375
"195","Oncorhynchus keta",0,1,1,1,"0","0","Oncorhynchus keta","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","accepted",NA,FALSE,127183,88757,5204014,739921
"196","Oncorhynchus nerka",0,1,1,1,"0","0","Oncorhynchus nerka","Actinopteri","Salmoniformes","Salmonidae","Oncorhynchus","accepted",NA,FALSE,254569,88747,5204039,165375
"197","Oneirodes acanthias",0,1,0,0,"0","0","Oneirodes acanthias","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes","accepted",NA,FALSE,272620,78115,2414799,152131
"198","Oneirodes eschrichti",0,1,0,0,"0","0","Oneirodes eschrichtii","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes","unaccepted","misspelling",TRUE,126572,NA,2414777,3630322
"199","Osmerus mordax dentex",0,1,0,0,"0","0","Osmerus mordax dentex","Actinopteri","Osmeriformes","Osmeridae","Osmerus","accepted",NA,NA,293648,110852,6169860,NA
"200","Pallasina barbata aix",0,1,0,0,"0","0","Pallasina barbata","Actinopteri","Perciformes","Agonidae","Pallasina","unaccepted",NA,TRUE,254396,NA,5201646,170501
"201","Paricelinus hopliticus",0,1,0,0,"0","0","Paricelinus hopliticus","Actinopteri","Perciformes","Cottidae","Paricelinus","accepted",NA,FALSE,282147,395152,2333927,3632193
"202","Pentaceros richardsoni",0,1,0,0,"0","0","Pentaceros richardsoni","Actinopteri","Acropomatiformes","Pentacerotidae","Pentaceros","accepted",NA,TRUE,313240,779512,5208735,240484
"203","Peprilus simillimus",0,1,0,0,"0","0","Peprilus simillimus","Actinopteri","Perciformes","Stromateidae","Peprilus","accepted",NA,FALSE,276563,125550,2397704,47458
"204","Phanerodon furcatus",0,1,0,0,"0","0","Phanerodon furcatus","Actinopteri","Ovalentaria incertae sedis","Embiotocidae","Phanerodon","accepted",NA,FALSE,240730,140354,2389267,1025638
"205","Pholis clemensi",0,1,0,0,"0","0","Pholis clemensi","Actinopteri","Perciformes","Pholidae","Pholis","accepted",NA,FALSE,273686,125635,5210431,519264
"206","Pholis ornata",0,1,0,0,"0","0","Pholis ornata","Actinopteri","Perciformes","Pholidae","Pholis","accepted",NA,FALSE,273692,125502,5210410,1084057
"207","Pholis schultzi",0,1,0,0,"0","0","Pholis schultzi","Actinopteri","Perciformes","Pholidae","Pholis","accepted",NA,FALSE,273693,NA,5210412,3633134
"208","Phytichthys chirus",0,1,0,0,"0","0","Phytichthys chirus","Actinopteri","Perciformes","Stichaeidae","Phytichthys","accepted",NA,FALSE,282255,NA,2394821,3640136
"209","Plectobranchus evides",0,1,0,0,"0","0","Plectobranchus evides","Actinopteri","Perciformes","Stichaeidae","Plectobranchus","accepted",NA,FALSE,282283,14733,2394930,155039
"210","Polypera greeni",0,1,0,0,"0","0","Polypera greeni","Actinopteri","Perciformes","Liparidae","Polypera","accepted",NA,FALSE,315311,NA,5201440,4949180
